Wikidata ID,Chicago,Chicago link
Q13582243,direct sum of group representations,https://mathgloss.github.io/MathGloss/chicago/direct_sum_of_group_representations
Q13582243,direct sum of module homomorphisms,https://mathgloss.github.io/MathGloss/chicago/direct_sum_of_module_homomorphisms
Q1142861,direct sum of modules,https://mathgloss.github.io/MathGloss/chicago/direct_sum_of_modules
Q383851,directional derivative,https://mathgloss.github.io/MathGloss/chicago/directional_derivative
Q1228851,discrete category,https://mathgloss.github.io/MathGloss/chicago/discrete_category
Q91267214,discrete topology,https://mathgloss.github.io/MathGloss/chicago/discrete_topology
Q1782332,divisible group,https://mathgloss.github.io/MathGloss/chicago/divisible_group
Q1231309,division algebra,https://mathgloss.github.io/MathGloss/chicago/division_algebra
Q1226939,division in a ring,https://mathgloss.github.io/MathGloss/chicago/division_in_a_ring
Q650741,division ring,https://mathgloss.github.io/MathGloss/chicago/division_ring
Q3427408,dual representation of a Lie algebra,https://mathgloss.github.io/MathGloss/chicago/dual_representation_of_a_lie_algebra
Q752487,dual space,https://mathgloss.github.io/MathGloss/chicago/dual_space
Q1415372,edge path,https://mathgloss.github.io/MathGloss/chicago/edge_path
Q3553768,eigenvalue,https://mathgloss.github.io/MathGloss/chicago/eigenvalue
Q3555174,eigenvector,https://mathgloss.github.io/MathGloss/chicago/eigenvector
Q1017231,elementary abelian p-group,https://mathgloss.github.io/MathGloss/chicago/elementary_abelian_p-group
Q609566,elementary matrix,https://mathgloss.github.io/MathGloss/chicago/elementary_matrix
Q203920,embedded m-dimensional manifold,https://mathgloss.github.io/MathGloss/chicago/embedded_m-dimensional_manifold
Q1333611,embedded m-dimensional manifold with boundary,https://mathgloss.github.io/MathGloss/chicago/embedded_m-dimensional_manifold_with_boundary
Q980509,embedding,https://mathgloss.github.io/MathGloss/chicago/embedding
Q1340800,endomorphism,https://mathgloss.github.io/MathGloss/chicago/endomorphism
Q215084,entire,https://mathgloss.github.io/MathGloss/chicago/entire
Q1347208,epimorphism,https://mathgloss.github.io/MathGloss/chicago/epimorphism
Q1211071,equivalence class,https://mathgloss.github.io/MathGloss/chicago/equivalence_class
Q130998,equivalence relation,https://mathgloss.github.io/MathGloss/chicago/equivalence_relation
Q256355,equivariant map,https://mathgloss.github.io/MathGloss/chicago/equivariant_map
Q1969054,essential infimum,https://mathgloss.github.io/MathGloss/chicago/essential_infimum
Q1969054,essential supremum,https://mathgloss.github.io/MathGloss/chicago/essential_supremum
Q1969054,essentially bounded,https://mathgloss.github.io/MathGloss/chicago/essentially_bounded
Q32998717,exponent of a finite group,https://mathgloss.github.io/MathGloss/chicago/exponent_of_a_finite_group
Q1322786,exterior,https://mathgloss.github.io/MathGloss/chicago/exterior
Q13408581,exterior power of a vector space,https://mathgloss.github.io/MathGloss/chicago/exterior_power_of_a_vector_space
Q13408581,exterior power of group representations,https://mathgloss.github.io/MathGloss/chicago/exterior_power_of_group_representations
Q13408581,exterior power of linear transformation,https://mathgloss.github.io/MathGloss/chicago/exterior_power_of_linear_transformation
Q190109,field,https://mathgloss.github.io/MathGloss/chicago/field
Q1761084,finite length R-module,https://mathgloss.github.io/MathGloss/chicago/finite_length_r-module
Q1340572,finitely generated R-module,https://mathgloss.github.io/MathGloss/chicago/finitely_generated_r-module
Q431078,free group,https://mathgloss.github.io/MathGloss/chicago/free_group
Q1292333,free module,https://mathgloss.github.io/MathGloss/chicago/free_module
Q579600,functional,https://mathgloss.github.io/MathGloss/chicago/functional
Q864475,functor,https://mathgloss.github.io/MathGloss/chicago/functor
Q662830,fundamental group,https://mathgloss.github.io/MathGloss/chicago/fundamental_group
Q15079592,game,https://mathgloss.github.io/MathGloss/chicago/game
Q17521172,general linear algebra,https://mathgloss.github.io/MathGloss/chicago/general_linear_algebra
Q524607,general linear group,https://mathgloss.github.io/MathGloss/chicago/general_linear_group
Q25106477,generate an R-module,https://mathgloss.github.io/MathGloss/chicago/generate_an_r-module
Q734209,generating set of a group,https://mathgloss.github.io/MathGloss/chicago/generating_set_of_a_group
Q173582,gradient,https://mathgloss.github.io/MathGloss/chicago/gradient
Q182598,graph of a function,https://mathgloss.github.io/MathGloss/chicago/graph_of_a_function
Q131752,greatest common divisor,https://mathgloss.github.io/MathGloss/chicago/greatest_common_divisor
Q83478,group,https://mathgloss.github.io/MathGloss/chicago/group
Q288465,group action,https://mathgloss.github.io/MathGloss/chicago/group_action
Q217608,group action invariants,https://mathgloss.github.io/MathGloss/chicago/group_action_invariants
Q868169,group homomorphism,https://mathgloss.github.io/MathGloss/chicago/group_homomorphism
Q1055807,group representation,https://mathgloss.github.io/MathGloss/chicago/group_representation
Q2602722,group ring,https://mathgloss.github.io/MathGloss/chicago/group_ring
Q599027,harmonic function,https://mathgloss.github.io/MathGloss/chicago/harmonic_function
Q202906,homeomorphism,https://mathgloss.github.io/MathGloss/chicago/homeomorphism
Q868169,homomorphism of Lie groups,https://mathgloss.github.io/MathGloss/chicago/homomorphism_of_lie_groups
Q44649,ideal of a Lie algebra,https://mathgloss.github.io/MathGloss/chicago/ideal_of_a_lie_algebra
Q2243424,idempotent,https://mathgloss.github.io/MathGloss/chicago/idempotent
Q5988368,identity component,https://mathgloss.github.io/MathGloss/chicago/identity_component
Q185813,identity element,https://mathgloss.github.io/MathGloss/chicago/identity_element
Q193794,identity matrix,https://mathgloss.github.io/MathGloss/chicago/identity_matrix
Q860623,image,https://mathgloss.github.io/MathGloss/chicago/image
Q1464168,index of a subgroup,https://mathgloss.github.io/MathGloss/chicago/index_of_a_subgroup
Q182003,injective,https://mathgloss.github.io/MathGloss/chicago/injective
Q1139583,inner automorphism of a Lie algebra,https://mathgloss.github.io/MathGloss/chicago/inner_automorphism_of_a_lie_algebra
Q1139583,inner automorphism of a group,https://mathgloss.github.io/MathGloss/chicago/inner_automorphism_of_a_group
Q23924662,inner product,https://mathgloss.github.io/MathGloss/chicago/inner_product
Q214159,inner product space,https://mathgloss.github.io/MathGloss/chicago/inner_product_space
Q628792,integral domain,https://mathgloss.github.io/MathGloss/chicago/integral_domain
Q862761,interior,https://mathgloss.github.io/MathGloss/chicago/interior
Q862761,interior points of a manifold,https://mathgloss.github.io/MathGloss/chicago/interior_points_of_a_manifold
Q185148,interval,https://mathgloss.github.io/MathGloss/chicago/interval
Q2706744,invariant subspace,https://mathgloss.github.io/MathGloss/chicago/invariant_subspace
Q338057,inverse element,https://mathgloss.github.io/MathGloss/chicago/inverse_element
Q191884,inverse function,https://mathgloss.github.io/MathGloss/chicago/inverse_function
Q17123743,inverse matrix,https://mathgloss.github.io/MathGloss/chicago/inverse_matrix
Q2989575,irreducible element of an integral domain,https://mathgloss.github.io/MathGloss/chicago/irreducible_element_of_an_integral_domain
Q13690522,irreducible representation,https://mathgloss.github.io/MathGloss/chicago/irreducible_representation
Q1142889,isolated point,https://mathgloss.github.io/MathGloss/chicago/isolated_point
Q740207,isometry,https://mathgloss.github.io/MathGloss/chicago/isometry
Q189112,isomorphism of Lie groups,https://mathgloss.github.io/MathGloss/chicago/isomorphism_of_lie_groups
Q189112,isomorphism of group representations,https://mathgloss.github.io/MathGloss/chicago/isomorphism_of_group_representations
Q17098238,isotypic component,https://mathgloss.github.io/MathGloss/chicago/isotypic_component
Q751969,left coset,https://mathgloss.github.io/MathGloss/chicago/left_coset
Q185813,left identity element,https://mathgloss.github.io/MathGloss/chicago/left_identity_element
Q338057,left inverse element,https://mathgloss.github.io/MathGloss/chicago/left_inverse_element
Q44649,left ring ideal,https://mathgloss.github.io/MathGloss/chicago/left_ring_ideal
Q858223,limit point,https://mathgloss.github.io/MathGloss/chicago/limit_point
Q16977077,linear Lie algebra,https://mathgloss.github.io/MathGloss/chicago/linear_lie_algebra
Q207643,linear transformation,https://mathgloss.github.io/MathGloss/chicago/linear_transformation
Q111783780,linearly dependent,https://mathgloss.github.io/MathGloss/chicago/linearly_dependent
Q27670,linearly independent,https://mathgloss.github.io/MathGloss/chicago/linearly_independent
Q27670,linearly independent group elements,https://mathgloss.github.io/MathGloss/chicago/linearly_independent_group_elements
Q91052280,local maximum,https://mathgloss.github.io/MathGloss/chicago/local_maximum
Q91052291,local minimum,https://mathgloss.github.io/MathGloss/chicago/local_minimum
Q2147620,locally compact group,https://mathgloss.github.io/MathGloss/chicago/locally_compact_group
Q643300,locally finite cover,https://mathgloss.github.io/MathGloss/chicago/locally_finite_cover
Q2136937,locally finite measure,https://mathgloss.github.io/MathGloss/chicago/locally_finite_measure
Q16671984,locally path-connected,https://mathgloss.github.io/MathGloss/chicago/locally_path-connected
Q4558786,loop,https://mathgloss.github.io/MathGloss/chicago/loop
Q109314515,lower central series,https://mathgloss.github.io/MathGloss/chicago/lower_central_series
Q679903,magma,https://mathgloss.github.io/MathGloss/chicago/magma
Q203920,manifold,https://mathgloss.github.io/MathGloss/chicago/manifold
Q44337,matrix,https://mathgloss.github.io/MathGloss/chicago/matrix
Q622679,matrix Lie group,https://mathgloss.github.io/MathGloss/chicago/matrix_lie_group
Q902017,matrix logarithm,https://mathgloss.github.io/MathGloss/chicago/matrix_logarithm
Q1049914,matrix multiplication,https://mathgloss.github.io/MathGloss/chicago/matrix_multiplication
Q223683,matrix transpose,https://mathgloss.github.io/MathGloss/chicago/matrix_transpose
Q1203540,maximal ring ideal,https://mathgloss.github.io/MathGloss/chicago/maximal_ring_ideal
Q16908484,maximal subgroup,https://mathgloss.github.io/MathGloss/chicago/maximal_subgroup
Q831672,maximal subtree,https://mathgloss.github.io/MathGloss/chicago/maximal_subtree
Q1747745,meager,https://mathgloss.github.io/MathGloss/chicago/meager
Q516776,measurable function,https://mathgloss.github.io/MathGloss/chicago/measurable_function
Q3058212,measure space,https://mathgloss.github.io/MathGloss/chicago/measure_space
Q1201815,measure zero,https://mathgloss.github.io/MathGloss/chicago/measure_zero
Q180953,metric space,https://mathgloss.github.io/MathGloss/chicago/metric_space
Q1341061,minor,https://mathgloss.github.io/MathGloss/chicago/minor
Q215111,module homomorphism,https://mathgloss.github.io/MathGloss/chicago/module_homomorphism
Q18848,module over a Lie algebra,https://mathgloss.github.io/MathGloss/chicago/module_over_a_lie_algebra
Q18848,module over a ring,https://mathgloss.github.io/MathGloss/chicago/module_over_a_ring
Q208237,monoid,https://mathgloss.github.io/MathGloss/chicago/monoid
Q1945067,monomorphism,https://mathgloss.github.io/MathGloss/chicago/monomorphism
Q17099189,multiplicative character,https://mathgloss.github.io/MathGloss/chicago/multiplicative_character
Q2478475,neighborhood,https://mathgloss.github.io/MathGloss/chicago/neighborhood
Q840023,nilpotent,https://mathgloss.github.io/MathGloss/chicago/nilpotent
Q15148889,nilpotent Lie algebra,https://mathgloss.github.io/MathGloss/chicago/nilpotent_lie_algebra
Q1755242,nilpotent group,https://mathgloss.github.io/MathGloss/chicago/nilpotent_group
Q97623888,nonmeager,https://mathgloss.github.io/MathGloss/chicago/nonmeager
Q956437,norm,https://mathgloss.github.io/MathGloss/chicago/norm
Q1069099,normal-form game,https://mathgloss.github.io/MathGloss/chicago/normal-form_game
Q743179,normal subgroup,https://mathgloss.github.io/MathGloss/chicago/normal_subgroup
Q1761121,normalizer of a group,https://mathgloss.github.io/MathGloss/chicago/normalizer_of_a_group
Q956437,normed linear space,https://mathgloss.github.io/MathGloss/chicago/normed_linear_space
Q1991405,nowhere dense,https://mathgloss.github.io/MathGloss/chicago/nowhere_dense
Q2914509,nullity,https://mathgloss.github.io/MathGloss/chicago/nullity
Q213363,open,https://mathgloss.github.io/MathGloss/chicago/open
Q41509136,open cover,https://mathgloss.github.io/MathGloss/chicago/open_cover
Q7098616,opposite category,https://mathgloss.github.io/MathGloss/chicago/opposite_category
Q17859776,orbit,https://mathgloss.github.io/MathGloss/chicago/orbit
Q18408315,order of a group,https://mathgloss.github.io/MathGloss/chicago/order_of_a_group
Q54555759,order of a group element,https://mathgloss.github.io/MathGloss/chicago/order_of_a_group_element
Q860609,ordinary generating function,https://mathgloss.github.io/MathGloss/chicago/ordinary_generating_function
Q2748415,orientable,https://mathgloss.github.io/MathGloss/chicago/orientable
Q2748415,orientation,https://mathgloss.github.io/MathGloss/chicago/orientation
Q1137726,oriented edge,https://mathgloss.github.io/MathGloss/chicago/oriented_edge
Q215067,orthogonal,https://mathgloss.github.io/MathGloss/chicago/orthogonal
Q1780921,orthogonal complement,https://mathgloss.github.io/MathGloss/chicago/orthogonal_complement
Q1783179,orthogonal group,https://mathgloss.github.io/MathGloss/chicago/orthogonal_group
Q333871,orthogonal matrix,https://mathgloss.github.io/MathGloss/chicago/orthogonal_matrix
Q1411166,orthonormal,https://mathgloss.github.io/MathGloss/chicago/orthonormal
Q451323,outer derivation,https://mathgloss.github.io/MathGloss/chicago/outer_derivation
Q258374,outer measure,https://mathgloss.github.io/MathGloss/chicago/outer_measure
Q26851733,outer regular,https://mathgloss.github.io/MathGloss/chicago/outer_regular
Q2748415,outward pointing,https://mathgloss.github.io/MathGloss/chicago/outward_pointing
Q11756524,p-adic integers,https://mathgloss.github.io/MathGloss/chicago/p-adic_integers
Q286972,p-group,https://mathgloss.github.io/MathGloss/chicago/p-group
Q286972,p-primary component of an abelian group,https://mathgloss.github.io/MathGloss/chicago/p-primary_component_of_an_abelian_group
Q7134470,paradoxical set,https://mathgloss.github.io/MathGloss/chicago/paradoxical_set
Q186475,partial derivative,https://mathgloss.github.io/MathGloss/chicago/partial_derivative
Q1082910,partition of an integer,https://mathgloss.github.io/MathGloss/chicago/partition_of_an_integer
Q191690,partition of unity,https://mathgloss.github.io/MathGloss/chicago/partition_of_unity
Q3487687,path-connected,https://mathgloss.github.io/MathGloss/chicago/path-connected
Q1366002,path,https://mathgloss.github.io/MathGloss/chicago/path
Q7168101,perfect set,https://mathgloss.github.io/MathGloss/chicago/perfect_set
Q161519,permutation,https://mathgloss.github.io/MathGloss/chicago/permutation
Q1455652,polynomial ring,https://mathgloss.github.io/MathGloss/chicago/polynomial_ring
Q1052034,positive definite,https://mathgloss.github.io/MathGloss/chicago/positive_definite
Q205170,power set,https://mathgloss.github.io/MathGloss/chicago/power_set
Q1393014,pre-measure,https://mathgloss.github.io/MathGloss/chicago/pre-measure
Q240651,prime element of an integral domain,https://mathgloss.github.io/MathGloss/chicago/prime_element_of_an_integral_domain
Q863912,prime ideal,https://mathgloss.github.io/MathGloss/chicago/prime_ideal
Q49008,prime number,https://mathgloss.github.io/MathGloss/chicago/prime_number
Q44382,principal ideal,https://mathgloss.github.io/MathGloss/chicago/principal_ideal
Q1143969,principal ideal domain,https://mathgloss.github.io/MathGloss/chicago/principal_ideal_domain
Q1572094,product measure,https://mathgloss.github.io/MathGloss/chicago/product_measure
Q519967,projection,https://mathgloss.github.io/MathGloss/chicago/projection
Q803531,quadratic integers,https://mathgloss.github.io/MathGloss/chicago/quadratic_integers
Q173853,quaternion algebra,https://mathgloss.github.io/MathGloss/chicago/quaternion_algebra
Q3966112,quotient by equivalence relation,https://mathgloss.github.io/MathGloss/chicago/quotient_by_equivalence_relation
Q1138961,quotient by normal subgroup,https://mathgloss.github.io/MathGloss/chicago/quotient_by_normal_subgroup
Q1138961,quotient by subgroup,https://mathgloss.github.io/MathGloss/chicago/quotient_by_subgroup
Q2589508,quotient of Lie algebra by ideal,https://mathgloss.github.io/MathGloss/chicago/quotient_of_lie_algebra_by_ideal
Q1432554,quotient of modules,https://mathgloss.github.io/MathGloss/chicago/quotient_of_modules
Q1139111,quotient of topological spaces,https://mathgloss.github.io/MathGloss/chicago/quotient_of_topological_spaces
Q619436,quotient ring,https://mathgloss.github.io/MathGloss/chicago/quotient_ring
Q1393796,quotient vector space,https://mathgloss.github.io/MathGloss/chicago/quotient_vector_space
Q656784,rank,https://mathgloss.github.io/MathGloss/chicago/rank
Q1260803,rank of a finitely generated abelian group,https://mathgloss.github.io/MathGloss/chicago/rank_of_a_finitely_generated_abelian_group
Q936434,real symplectic group,https://mathgloss.github.io/MathGloss/chicago/real_symplectic_group
Q209,rectangle,https://mathgloss.github.io/MathGloss/chicago/rectangle
Q3038340,rectifiable,https://mathgloss.github.io/MathGloss/chicago/rectifiable
Q621850,reflexive,https://mathgloss.github.io/MathGloss/chicago/reflexive
Q1428110,regular,https://mathgloss.github.io/MathGloss/chicago/regular
Q751969,right coset,https://mathgloss.github.io/MathGloss/chicago/right_coset
Q185813,right identity element,https://mathgloss.github.io/MathGloss/chicago/right_identity_element
Q338057,right inverse element,https://mathgloss.github.io/MathGloss/chicago/right_inverse_element
