Wikidata ID,nLab,nLab link
Q4716836,Alex Cole,https://ncatlab.org/nlab/show/Alex+Cole
Q1748305,Alex Eskin,https://ncatlab.org/nlab/show/Alex+Eskin
Q4717793,Alex Simpson,https://ncatlab.org/nlab/show/Alex+Simpson
Q369792,Alexander Beilinson,https://ncatlab.org/nlab/show/Alexander+Beilinson
Q2641669,Alexander Belavin,https://ncatlab.org/nlab/show/Alexander+Belavin
Q2641863,Alexander Braverman,https://ncatlab.org/nlab/show/Alexander+Braverman
Q82750,Alexander Campbell,https://ncatlab.org/nlab/show/Alexander+Campbell
Q99544,Alexander Engel,https://ncatlab.org/nlab/show/Alexander+Engel
Q451757,Alexander Givental,https://ncatlab.org/nlab/show/Alexander+Givental
Q2642205,Alexander Goncharov,https://ncatlab.org/nlab/show/Alexander+Goncharov
Q980208,Alexander Gorsky,https://ncatlab.org/nlab/show/Alexander+Gorsky
Q4703912,Alexander Green,https://ncatlab.org/nlab/show/Alexander+Green
Q77141,Alexander Grothendieck,https://ncatlab.org/nlab/show/Alexander+Grothendieck
Q4221363,Alexander Kirillov,https://ncatlab.org/nlab/show/Alexander+Kirillov
Q1900592,Alexander Kuznetsov,https://ncatlab.org/nlab/show/Alexander+Kuznetsov
Q4718839,Alexander L. Fetter,https://ncatlab.org/nlab/show/Alexander+L.+Fetter
Q2642658,Alexander Merkurjev,https://ncatlab.org/nlab/show/Alexander+Merkurjev
Q64975,Alexander Ostrowski,https://ncatlab.org/nlab/show/Alexander+Ostrowski
Q16734607,Alexander Polishchuk,https://ncatlab.org/nlab/show/Alexander+Polishchuk
Q1727208,Alexander Polyakov,https://ncatlab.org/nlab/show/Alexander+Polyakov
Q1634206,Alexander polynomial,https://ncatlab.org/nlab/show/Alexander+polynomial
Q620780,Alexander Popov,https://ncatlab.org/nlab/show/Alexander+Popov
Q4374246,Alexander Postnikov,https://ncatlab.org/nlab/show/Alexander+Postnikov
Q3739981,Alexander Rosenberg,https://ncatlab.org/nlab/show/Alexander+Rosenberg
