Wikidata ID,Mathlib UG
[Q1057416](https://www.wikidata.org/wiki/Q1057416),[Eisenstein's criterion](https://leanprover-community.github.io/mathlib_docs/ring_theory/eisenstein_criterion.html#polynomial.irreducible_of_eisenstein_criterion)
[Q2228257](https://www.wikidata.org/wiki/Q2228257),[Multiplicity (mathematics)](https://leanprover-community.github.io/mathlib_docs/data/polynomial/div.html#polynomial.root_multiplicity)
[Q930499](https://www.wikidata.org/wiki/Q930499),[Symmetric polynomials](https://leanprover-community.github.io/mathlib_docs/ring_theory/mv_polynomial/symmetric.html#mv_polynomial.is_symmetric)
[Q1201101](https://www.wikidata.org/wiki/Q1201101),[Fields](https://leanprover-community.github.io/mathlib_docs/algebra/field/defs.html#field)
[Q836088](https://www.wikidata.org/wiki/Q836088),[Characteristic of a ring](https://leanprover-community.github.io/mathlib_docs/algebra/char_p/basic.html#ring_char)
[Q836088](https://www.wikidata.org/wiki/Q836088),[Characteristic zero](https://leanprover-community.github.io/mathlib_docs/algebra/char_zero/defs.html#char_zero)
[Q836088](https://www.wikidata.org/wiki/Q836088),[Characteristic p](https://leanprover-community.github.io/mathlib_docs/algebra/char_p/basic.html#char_p)
[Q6787889](https://www.wikidata.org/wiki/Q6787889),[Matrix representation](https://leanprover-community.github.io/mathlib_docs/linear_algebra/matrix/bilinear_form.html#bilin_form.to_matrix)
[Q11210](https://www.wikidata.org/wiki/Q11210),[Change of coordinates](https://leanprover-community.github.io/mathlib_docs/linear_algebra/matrix/bilinear_form.html#bilin_form.to_matrix_comp)
[Q736753](https://www.wikidata.org/wiki/Q736753),[Quadratic form](https://leanprover-community.github.io/mathlib_docs/linear_algebra/quadratic_form/basic.html#quadratic_form)
[Q1017106](https://www.wikidata.org/wiki/Q1017106),[Adjoint endomorphism](https://leanprover-community.github.io/mathlib_docs/linear_algebra/bilinear_form.html#bilin_form.left_adjoint_of_nondegenerate)
[Q1780921](https://www.wikidata.org/wiki/Q1780921),[Orthogonal complement](https://leanprover-community.github.io/mathlib_docs/analysis/inner_product_space/orthogonal.html#submodule.orthogonal)
[Q190546](https://www.wikidata.org/wiki/Q190546),[Cauchy-Schwarz inequality](https://leanprover-community.github.io/mathlib_docs/analysis/inner_product_space/basic.html#inner_mul_inner_self_le)
[Q956437](https://www.wikidata.org/wiki/Q956437),[Norm (mathematics)](https://leanprover-community.github.io/mathlib_docs/analysis/inner_product_space/basic.html#inner_product_space.core.to_has_norm)
[Q2365325](https://www.wikidata.org/wiki/Q2365325),[Orthonormal bases](https://leanprover-community.github.io/mathlib_docs/analysis/inner_product_space/projection.html#maximal_orthonormal_iff_basis_of_finite_dimensional)
[Q1783179](https://www.wikidata.org/wiki/Q1783179),[Orthogonal group](https://leanprover-community.github.io/mathlib_docs/linear_algebra/unitary_group.html#matrix.orthogonal_group)
[Q1500617](https://www.wikidata.org/wiki/Q1500617),[Unitary group](https://leanprover-community.github.io/mathlib_docs/linear_algebra/unitary_group.html#matrix.unitary_group)
[Q178192](https://www.wikidata.org/wiki/Q178192),[Cross product](https://leanprover-community.github.io/mathlib_docs/linear_algebra/cross_product.html#cross_product)
[Q36248](https://www.wikidata.org/wiki/Q36248),[Triple product](https://leanprover-community.github.io/mathlib_docs/linear_algebra/cross_product.html#triple_product_eq_det)
[Q382698](https://www.wikidata.org/wiki/Q382698),[Affine space (algebraic geometry)](https://leanprover-community.github.io/mathlib_docs/algebra/add_torsor.html#add_torsor)
[Q382497](https://www.wikidata.org/wiki/Q382497),[Affine function](https://leanprover-community.github.io/mathlib_docs/linear_algebra/affine_space/affine_map.html#affine_map)
[Q382698](https://www.wikidata.org/wiki/Q382698),[Affine subspace](https://leanprover-community.github.io/mathlib_docs/linear_algebra/affine_space/affine_subspace.html#affine_subspace)
[Q809690](https://www.wikidata.org/wiki/Q809690),[Barycenter](https://leanprover-community.github.io/mathlib_docs/linear_algebra/affine_space/combination.html#finset.affine_combination)
[Q382504](https://www.wikidata.org/wiki/Q382504),[Affine span](https://leanprover-community.github.io/mathlib_docs/linear_algebra/affine_space/affine_subspace.html#affine_span)
[Q1385465](https://www.wikidata.org/wiki/Q1385465),[Extreme point](https://leanprover-community.github.io/mathlib_docs/analysis/convex/extreme.html#set.extreme_points)
[Q1820515](https://www.wikidata.org/wiki/Q1820515),[Order (mathematics)](https://leanprover-community.github.io/mathlib_docs/data/real/basic.html#real.linear_order)
[Q141488](https://www.wikidata.org/wiki/Q141488),[Order (graph theory)](https://leanprover-community.github.io/mathlib_docs/data/real/basic.html#real.linear_order)
[Q589491](https://www.wikidata.org/wiki/Q589491),[Order (group theory)](https://leanprover-community.github.io/mathlib_docs/data/real/basic.html#real.linear_order)
[Q1431456](https://www.wikidata.org/wiki/Q1431456),[Order (ring theory)](https://leanprover-community.github.io/mathlib_docs/data/real/basic.html#real.linear_order)
[Q1211057](https://www.wikidata.org/wiki/Q1211057),[Convergence (mathematics)](https://leanprover-community.github.io/mathlib_docs/order/filter/basic.html#filter.tendsto)
[Q858223](https://www.wikidata.org/wiki/Q858223),[Limit point](https://leanprover-community.github.io/mathlib_docs/topology/basic.html#map_cluster_pt)
[Q217847](https://www.wikidata.org/wiki/Q217847),[Cauchy sequences](https://leanprover-community.github.io/mathlib_docs/topology/uniform_space/cauchy.html#cauchy_seq)
[Q630649](https://www.wikidata.org/wiki/Q630649),[Metric structure](https://leanprover-community.github.io/mathlib_docs/topology/metric_space/basic.html#real.metric_space)
[Q468391](https://www.wikidata.org/wiki/Q468391),[Bolzano-Weierstrass theorem](https://leanprover-community.github.io/mathlib_docs/topology/sequences.html#tendsto_subseq_of_bounded)
[Q1306887](https://www.wikidata.org/wiki/Q1306887),[Geometric series](https://leanprover-community.github.io/mathlib_docs/analysis/specific_limits/normed.html#tsum_geometric_of_norm_lt_1)
[Q438842](https://www.wikidata.org/wiki/Q438842),[Alternating series](https://leanprover-community.github.io/mathlib_docs/analysis/specific_limits/normed.html#antitone.tendsto_alternating_series_of_tendsto_zero)
[Q5165409](https://www.wikidata.org/wiki/Q5165409),[Continuity (mathematics)](https://leanprover-community.github.io/mathlib_docs/topology/basic.html#continuous)
[Q1322614](https://www.wikidata.org/wiki/Q1322614),[Continuity (category theory)](https://leanprover-community.github.io/mathlib_docs/topology/basic.html#continuous)
[Q170058](https://www.wikidata.org/wiki/Q170058),[Continuity (topology)](https://leanprover-community.github.io/mathlib_docs/topology/basic.html#continuous)
[Q5165476](https://www.wikidata.org/wiki/Q5165476),[Continuity (set theory)](https://leanprover-community.github.io/mathlib_docs/topology/basic.html#continuous)
[Q246639](https://www.wikidata.org/wiki/Q246639),[Limits](https://leanprover-community.github.io/mathlib_docs/order/filter/basic.html#filter.tendsto)
[Q245098](https://www.wikidata.org/wiki/Q245098),[Intermediate value theorem](https://leanprover-community.github.io/mathlib_docs/topology/algebra/order/intermediate_value.html#intermediate_value_Icc)
[Q783507](https://www.wikidata.org/wiki/Q783507),[Differentiable functions](https://leanprover-community.github.io/mathlib_docs/analysis/calculus/deriv/basic.html#has_deriv_at)
[Q193286](https://www.wikidata.org/wiki/Q193286),[Rolle's theorem](https://leanprover-community.github.io/mathlib_docs/analysis/calculus/local_extr.html#exists_deriv_eq_zero)
[Q189136](https://www.wikidata.org/wiki/Q189136),[Mean value theorem](https://leanprover-community.github.io/mathlib_docs/analysis/calculus/mean_value.html#exists_ratio_deriv_eq_ratio_slope)
[Q394747](https://www.wikidata.org/wiki/Q394747),[Leibniz formula](https://leanprover-community.github.io/mathlib_docs/analysis/calculus/deriv/mul.html#deriv_mul)
[Q41237](https://www.wikidata.org/wiki/Q41237),[Rational functions](https://leanprover-community.github.io/mathlib_docs/field_theory/ratfunc.html#ratfunc.eval)
[Q11197](https://www.wikidata.org/wiki/Q11197),[Logarithms](https://leanprover-community.github.io/mathlib_docs/analysis/special_functions/log/basic.html#real.log)
[Q4391173](https://www.wikidata.org/wiki/Q4391173),[Exponential (category theory)](https://leanprover-community.github.io/mathlib_docs/data/complex/exponential.html#real.exp)
[Q93344](https://www.wikidata.org/wiki/Q93344),[Trigonometric functions](https://leanprover-community.github.io/mathlib_docs/data/complex/exponential.html#real.sin)
[Q204034](https://www.wikidata.org/wiki/Q204034),[Hyperbolic trigonometric functions](https://leanprover-community.github.io/mathlib_docs/data/complex/exponential.html#real.sinh)
[Q674533](https://www.wikidata.org/wiki/Q674533),[Inverse trigonometric functions](https://leanprover-community.github.io/mathlib_docs/analysis/special_functions/trigonometric/inverse.html#real.arcsin)
[Q1156903](https://www.wikidata.org/wiki/Q1156903),[Riemann sums](https://leanprover-community.github.io/mathlib_docs/analysis/box_integral/basic.html#box_integral.integral_sum)
[Q1934165](https://www.wikidata.org/wiki/Q1934165),[Change of variable](https://leanprover-community.github.io/mathlib_docs/measure_theory/integral/fund_thm_calculus.html#interval_integral.integral_comp_smul_deriv)
[Q273328](https://www.wikidata.org/wiki/Q273328),[Integration by parts](https://leanprover-community.github.io/mathlib_docs/measure_theory/integral/fund_thm_calculus.html#interval_integral.integral_mul_deriv_eq_deriv_mul)
[Q1778098](https://www.wikidata.org/wiki/Q1778098),[Pointwise convergence](https://leanprover-community.github.io/mathlib_docs/topology/constructions.html#tendsto_pi_nhds)
[Q1411887](https://www.wikidata.org/wiki/Q1411887),[Uniform convergence](https://leanprover-community.github.io/mathlib_docs/topology/uniform_space/uniform_convergence.html#tendsto_uniformly)
[Q1428097](https://www.wikidata.org/wiki/Q1428097),[Radius of convergence](https://leanprover-community.github.io/mathlib_docs/analysis/analytic/basic.html#formal_multilinear_series.radius)
[Q5165409](https://www.wikidata.org/wiki/Q5165409),[Continuity (mathematics)](https://leanprover-community.github.io/mathlib_docs/analysis/analytic/basic.html#has_fpower_series_on_ball.continuous_on)
[Q1322614](https://www.wikidata.org/wiki/Q1322614),[Continuity (category theory)](https://leanprover-community.github.io/mathlib_docs/analysis/analytic/basic.html#has_fpower_series_on_ball.continuous_on)
[Q170058](https://www.wikidata.org/wiki/Q170058),[Continuity (topology)](https://leanprover-community.github.io/mathlib_docs/analysis/analytic/basic.html#has_fpower_series_on_ball.continuous_on)
[Q5165476](https://www.wikidata.org/wiki/Q5165476),[Continuity (set theory)](https://leanprover-community.github.io/mathlib_docs/analysis/analytic/basic.html#has_fpower_series_on_ball.continuous_on)
[Q93344](https://www.wikidata.org/wiki/Q93344),[Cosine](https://leanprover-community.github.io/mathlib_docs/data/complex/exponential.html#complex.cos)
[Q152415](https://www.wikidata.org/wiki/Q152415),[Sine (mathematics)](https://leanprover-community.github.io/mathlib_docs/data/complex/exponential.html#complex.sin)
[Q207476](https://www.wikidata.org/wiki/Q207476),[Holomorphic functions](https://leanprover-community.github.io/mathlib_docs/analysis/calculus/fderiv/basic.html#differentiable_on)
[Q1914255](https://www.wikidata.org/wiki/Q1914255),[Maximum principle](https://leanprover-community.github.io/mathlib_docs/analysis/complex/abs_max.html#complex.eventually_eq_of_is_local_max_norm)
[Q17130880](https://www.wikidata.org/wiki/Q17130880),[Induced topology](https://leanprover-community.github.io/mathlib_docs/topology/order.html#topological_space.induced)
[Q170058](https://www.wikidata.org/wiki/Q170058),[Continuous functions](https://leanprover-community.github.io/mathlib_docs/topology/basic.html#continuous)
[Q202906](https://www.wikidata.org/wiki/Q202906),[Homeomorphisms](https://leanprover-community.github.io/mathlib_docs/topology/homeomorph.html#homeomorph)
[Q1491995](https://www.wikidata.org/wiki/Q1491995),[Connectedness (topology)](https://leanprover-community.github.io/mathlib_docs/topology/connected.html#connected_space)
[Q230655](https://www.wikidata.org/wiki/Q230655),[Connectedness (graph theory)](https://leanprover-community.github.io/mathlib_docs/topology/connected.html#connected_space)
[Q230646](https://www.wikidata.org/wiki/Q230646),[Connected components](https://leanprover-community.github.io/mathlib_docs/topology/connected.html#connected_component)
[Q1491995](https://www.wikidata.org/wiki/Q1491995),[Path connectedness](https://leanprover-community.github.io/mathlib_docs/topology/path_connected.html#is_path_connected)
[Q652707](https://www.wikidata.org/wiki/Q652707),[Lipschitz functions](https://leanprover-community.github.io/mathlib_docs/topology/metric_space/lipschitz.html#lipschitz_with)
[Q741865](https://www.wikidata.org/wiki/Q741865),[Uniformly continuous functions](https://leanprover-community.github.io/mathlib_docs/topology/metric_space/basic.html#metric.uniform_continuous_iff)
[Q765987](https://www.wikidata.org/wiki/Q765987),[Heine-Cantor theorem](https://leanprover-community.github.io/mathlib_docs/topology/uniform_space/compact.html#compact_space.uniform_continuous_of_continuous)
[Q220680](https://www.wikidata.org/wiki/Q220680),[Contraction mapping theorem](https://leanprover-community.github.io/mathlib_docs/topology/metric_space/contracting.html#contracting_with.exists_fixed_point)
[Q1477053](https://www.wikidata.org/wiki/Q1477053),[Arzela-Ascoli theorem](https://leanprover-community.github.io/mathlib_docs/topology/continuous_function/bounded.html#bounded_continuous_function.arzela_ascoli)
[Q3527215](https://www.wikidata.org/wiki/Q3527215),[Hilbert projection theorem](https://leanprover-community.github.io/mathlib_docs/analysis/inner_product_space/projection.html#exists_norm_eq_infi_of_complete_convex)
