Wikidata ID,mathlib
[Q475239](https://www.wikidata.org/wiki/Q475239),[Gram-Schmidt orthogonalisation](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/GramSchmidtOrtho.html#gramSchmidt_orthogonal)
[Q17295](https://www.wikidata.org/wiki/Q17295),[Euclidean vector spaces](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/Defs.html#InnerProductSpace)
[Q1780921](https://www.wikidata.org/wiki/Q1780921),[orthogonal complement](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/Orthogonal.html#Submodule.orthogonal)
[Q956437](https://www.wikidata.org/wiki/Q956437),[norm](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/Defs.html#InnerProductSpace.Core.toNorm)
[Q2365325](https://www.wikidata.org/wiki/Q2365325),[orthonormal bases](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/Projection.html#maximal_orthonormal_iff_basis_of_finiteDimensional)
[Q1783179](https://www.wikidata.org/wiki/Q1783179),[orthogonal group](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/UnitaryGroup.html#Matrix.orthogonalGroup)
[Q1500617](https://www.wikidata.org/wiki/Q1500617),[unitary group](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/UnitaryGroup.html#Matrix.unitaryGroup)
[Q178192](https://www.wikidata.org/wiki/Q178192),[cross product](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/CrossProduct.html#crossProduct)
[Q36248](https://www.wikidata.org/wiki/Q36248),[triple product](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/CrossProduct.html#triple_product_eq_det)
[Q382698](https://www.wikidata.org/wiki/Q382698),[affine space](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/AddTorsor.html#AddTorsor)
[Q382497](https://www.wikidata.org/wiki/Q382497),[affine function](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/AffineMap.html#AffineMap)
[Q382698](https://www.wikidata.org/wiki/Q382698),[affine subspace](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/AffineSubspace.html#AffineSubspace)
[Q809690](https://www.wikidata.org/wiki/Q809690),[barycenter](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/Combination.html#Finset.affineCombination)
[Q382504](https://www.wikidata.org/wiki/Q382504),[affine span](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/AffineSubspace.html#affineSpan)
[Q686291](https://www.wikidata.org/wiki/Q686291),[affine groups](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/AffineEquiv.html#AffineEquiv.group)
[Q193657](https://www.wikidata.org/wiki/Q193657),[convex subsets](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Convex/Basic.html#Convex)
[Q1385465](https://www.wikidata.org/wiki/Q1385465),[extreme point](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Convex/Extreme.html#Set.extremePoints)
[Q740207](https://www.wikidata.org/wiki/Q740207),[group of isometries of a Euclidean affine space](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Normed/Affine/Isometry.html#AffineIsometryEquiv.instGroup)
[Q141488](https://www.wikidata.org/wiki/Q141488),[order](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/Real/Basic.html#Real.linearOrder)
[Q1211057](https://www.wikidata.org/wiki/Q1211057),[convergence](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Order/Filter/Defs.html#Filter.Tendsto)
[Q858223](https://www.wikidata.org/wiki/Q858223),[limit point](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/Defs/Filter.html#MapClusterPt)
[Q217847](https://www.wikidata.org/wiki/Q217847),[Cauchy sequences](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/UniformSpace/Cauchy.html#CauchySeq)
[Q630649](https://www.wikidata.org/wiki/Q630649),[metric structure](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/MetricSpace/Basic.html#Real.metricSpace)
[Q1306887](https://www.wikidata.org/wiki/Q1306887),[Geometric series](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/SpecificLimits/Normed.html#tsum_geometric_of_norm_lt_one)
[Q438842](https://www.wikidata.org/wiki/Q438842),[alternating series](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/SpecificLimits/Normed.html#Antitone.tendsto_alternating_series_of_tendsto_zero)
[Q5165409](https://www.wikidata.org/wiki/Q5165409),[continuity](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/Defs/Basic.html#Continuous)
[Q177239](https://www.wikidata.org/wiki/Q177239),[limits](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Order/Filter/Defs.html#Filter.Tendsto)
[Q783507](https://www.wikidata.org/wiki/Q783507),[differentiable functions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Calculus/Deriv/Basic.html#HasDerivAt)
[Q394747](https://www.wikidata.org/wiki/Q394747),[Leibniz formula](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Calculus/Deriv/Mul.html#deriv_mul)
[Q41237](https://www.wikidata.org/wiki/Q41237),[rational functions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/FieldTheory/RatFunc/AsPolynomial.html#RatFunc.eval)
[Q11197](https://www.wikidata.org/wiki/Q11197),[logarithms](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/SpecialFunctions/Log/Basic.html#Real.log)
[Q4391173](https://www.wikidata.org/wiki/Q4391173),[exponential](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/Complex/Exponential.html#Real.exp)
[Q33456](https://www.wikidata.org/wiki/Q33456),[power functions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/SpecialFunctions/Pow/Real.html#Real.rpow)
[Q93344](https://www.wikidata.org/wiki/Q93344),[trigonometric functions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/Complex/Exponential.html#Real.sin)
[Q204034](https://www.wikidata.org/wiki/Q204034),[hyperbolic trigonometric functions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/Complex/Exponential.html#Real.sinh)
[Q674533](https://www.wikidata.org/wiki/Q674533),[inverse trigonometric functions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/SpecialFunctions/Trigonometric/Inverse.html#Real.arcsin)
[Q1156903](https://www.wikidata.org/wiki/Q1156903),[Riemann sums](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/BoxIntegral/Basic.html#BoxIntegral.integralSum)
[Q1934165](https://www.wikidata.org/wiki/Q1934165),[change of variable](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/Integral/FundThmCalculus.html#intervalIntegral.integral_comp_smul_deriv)
[Q273328](https://www.wikidata.org/wiki/Q273328),[integration by parts](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/Integral/FundThmCalculus.html#intervalIntegral.integral_mul_deriv_eq_deriv_mul)
[Q1778098](https://www.wikidata.org/wiki/Q1778098),[pointwise convergence](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/Constructions.html#tendsto_pi_nhds)
[Q1411887](https://www.wikidata.org/wiki/Q1411887),[uniform convergence](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/UniformSpace/UniformConvergence.html#TendstoUniformly)
[Q319913](https://www.wikidata.org/wiki/Q319913),[convex functions of a real variable](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Convex/Function.html#ConvexOn)
[Q5165409](https://www.wikidata.org/wiki/Q5165409),[continuity](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Convex/Continuous.html#ConvexOn.continuousOn)
[Q1428097](https://www.wikidata.org/wiki/Q1428097),[radius of convergence](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Analytic/Basic.html#FormalMultilinearSeries.radius)
[Q5165409](https://www.wikidata.org/wiki/Q5165409),[continuity](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Analytic/Basic.html#HasFPowerSeriesOnBall.continuousOn)
[Q184871](https://www.wikidata.org/wiki/Q184871),[complex exponential](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/Complex/Exponential.html#Complex.exp)
[Q93344](https://www.wikidata.org/wiki/Q93344),[cos](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/Complex/Exponential.html#Complex.cos)
[Q60227](https://www.wikidata.org/wiki/Q60227),[sin](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/Complex/Exponential.html#Complex.sin)
[Q60227](https://www.wikidata.org/wiki/Q60227),[sin](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/SpecialFunctions/Trigonometric/Series.html#Complex.hasSum_sin)
[Q207476](https://www.wikidata.org/wiki/Q207476),[holomorphic functions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Calculus/FDeriv/Basic.html#DifferentiableOn)
[Q17130880](https://www.wikidata.org/wiki/Q17130880),[induced topology](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/Defs/Induced.html#TopologicalSpace.induced)
[Q847204](https://www.wikidata.org/wiki/Q847204),[limits of sequences](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/MetricSpace/Pseudo/Defs.html#Metric.tendsto_atTop)
[Q858223](https://www.wikidata.org/wiki/Q858223),[cluster points](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/Defs/Filter.html#ClusterPt)
[Q170058](https://www.wikidata.org/wiki/Q170058),[continuous functions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/Defs/Basic.html#Continuous)
[Q584521](https://www.wikidata.org/wiki/Q584521),[homeomorphisms](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/Homeomorph.html#Homeomorph)
[Q1491995](https://www.wikidata.org/wiki/Q1491995),[connectedness](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/Connected/Basic.html#ConnectedSpace)
[Q1491995](https://www.wikidata.org/wiki/Q1491995),[connected components](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/Connected/Basic.html#connectedComponent)
[Q1491995](https://www.wikidata.org/wiki/Q1491995),[path connectedness](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/Connected/PathConnected.html#IsPathConnected)
[Q652707](https://www.wikidata.org/wiki/Q652707),[Lipschitz functions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/EMetricSpace/Lipschitz.html#LipschitzWith)
[Q741865](https://www.wikidata.org/wiki/Q741865),[uniformly continuous functions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/MetricSpace/Pseudo/Defs.html#Metric.uniformContinuous_iff)
[Q848569](https://www.wikidata.org/wiki/Q848569),[complete metric spaces](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/MetricSpace/Cauchy.html#Metric.complete_of_cauchySeq_tendsto)
[Q220680](https://www.wikidata.org/wiki/Q220680),[contraction mapping theorem](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/MetricSpace/Contracting.html#ContractingWith.exists_fixedPoint)
[Q1091024](https://www.wikidata.org/wiki/Q1091024),[continuous linear maps](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/Algebra/Module/LinearMap.html#ContinuousLinearMap)
