Wikidata ID,nLab
[Q1154351](https://www.wikidata.org/wiki/Q1154351),https://ncatlab.org/nlab/show/affine%2Bscheme
[Q382698](https://www.wikidata.org/wiki/Q382698),https://ncatlab.org/nlab/show/affine%2Bspace
[Q3554813](https://www.wikidata.org/wiki/Q3554813),https://ncatlab.org/nlab/show/affine%2Bvariety
[Q17338668](https://www.wikidata.org/wiki/Q17338668),https://ncatlab.org/nlab/show/AGT%2Bcorrespondence
[Q400083](https://www.wikidata.org/wiki/Q400083),https://ncatlab.org/nlab/show/Aharonov-Bohm%2Beffect
[Q223517](https://www.wikidata.org/wiki/Q223517),https://ncatlab.org/nlab/show/Ahmadnagar
[Q409415](https://www.wikidata.org/wiki/Q409415),https://ncatlab.org/nlab/show/Airy%2Bfunction
[Q371475](https://www.wikidata.org/wiki/Q371475),https://ncatlab.org/nlab/show/Aise%2BJohan%2Bde%2BJong
[Q58215574](https://www.wikidata.org/wiki/Q58215574),https://ncatlab.org/nlab/show/Akash%2BSingh
[Q4701148](https://www.wikidata.org/wiki/Q4701148),https://ncatlab.org/nlab/show/Akira%2BKono
[Q176588](https://www.wikidata.org/wiki/Q176588),https://ncatlab.org/nlab/show/Akshay%2BVenkatesh
[Q364997](https://www.wikidata.org/wiki/Q364997),https://ncatlab.org/nlab/show/Alain%2BAspect
[Q313590](https://www.wikidata.org/wiki/Q313590),https://ncatlab.org/nlab/show/Alain%2BConnes
[Q4706323](https://www.wikidata.org/wiki/Q4706323),https://ncatlab.org/nlab/show/Alan%2BCarey
[Q323316](https://www.wikidata.org/wiki/Q323316),https://ncatlab.org/nlab/show/Alan%2BGuth
[Q7251](https://www.wikidata.org/wiki/Q7251),https://ncatlab.org/nlab/show/Alan%2BM.%2BTuring
[Q4707254](https://www.wikidata.org/wiki/Q4707254),https://ncatlab.org/nlab/show/Alan%2BMartin
[Q4707402](https://www.wikidata.org/wiki/Q4707402),https://ncatlab.org/nlab/show/Alan%2BMycroft
[Q23538264](https://www.wikidata.org/wiki/Q23538264),https://ncatlab.org/nlab/show/Alan%2BRobinson
[Q381300](https://www.wikidata.org/wiki/Q381300),https://ncatlab.org/nlab/show/Alan%2BWeinstein
[Q20876161](https://www.wikidata.org/wiki/Q20876161),https://ncatlab.org/nlab/show/Alastair%2BHamilton
[Q4708729](https://www.wikidata.org/wiki/Q4708729),https://ncatlab.org/nlab/show/Alastair%2BKing
[Q4708787](https://www.wikidata.org/wiki/Q4708787),https://ncatlab.org/nlab/show/Alastair%2BWilson
[Q4709029](https://www.wikidata.org/wiki/Q4709029),https://ncatlab.org/nlab/show/Albanese%2Bvariety
[Q12204658](https://www.wikidata.org/wiki/Q12204658),https://ncatlab.org/nlab/show/Albert%2Balgebra
[Q937](https://www.wikidata.org/wiki/Q937),https://ncatlab.org/nlab/show/Albert%2BEinstein
[Q327198](https://www.wikidata.org/wiki/Q327198),https://ncatlab.org/nlab/show/Albert%2BLautman
[Q1464744](https://www.wikidata.org/wiki/Q1464744),https://ncatlab.org/nlab/show/Albert%2BNijenhuis
[Q2638692](https://www.wikidata.org/wiki/Q2638692),https://ncatlab.org/nlab/show/Albert%2BSchwarz
[Q109854](https://www.wikidata.org/wiki/Q109854),https://ncatlab.org/nlab/show/Albrecht%2BDold
[Q451721](https://www.wikidata.org/wiki/Q451721),https://ncatlab.org/nlab/show/Albrecht%2BFr%C3%B6hlich
[Q5597999](https://www.wikidata.org/wiki/Q5597999),https://ncatlab.org/nlab/show/ALE%2Bspace
[Q2640723](https://www.wikidata.org/wiki/Q2640723),https://ncatlab.org/nlab/show/Alejandro%2BAdem
[Q4714507](https://www.wikidata.org/wiki/Q4714507),https://ncatlab.org/nlab/show/Alejandro%2BCorichi
[Q344518](https://www.wikidata.org/wiki/Q344518),https://ncatlab.org/nlab/show/Aleksandr%2BAleksandrov
[Q15033](https://www.wikidata.org/wiki/Q15033),https://ncatlab.org/nlab/show/aleph
[Q4716267](https://www.wikidata.org/wiki/Q4716267),https://ncatlab.org/nlab/show/Alessandra%2BBuonanno
[Q56849337](https://www.wikidata.org/wiki/Q56849337),https://ncatlab.org/nlab/show/Alessandro%2BStrumia
[Q4716836](https://www.wikidata.org/wiki/Q4716836),https://ncatlab.org/nlab/show/Alex%2BCole
[Q1748305](https://www.wikidata.org/wiki/Q1748305),https://ncatlab.org/nlab/show/Alex%2BEskin
[Q4717793](https://www.wikidata.org/wiki/Q4717793),https://ncatlab.org/nlab/show/Alex%2BSimpson
[Q369792](https://www.wikidata.org/wiki/Q369792),https://ncatlab.org/nlab/show/Alexander%2BBeilinson
[Q2641669](https://www.wikidata.org/wiki/Q2641669),https://ncatlab.org/nlab/show/Alexander%2BBelavin
[Q2641863](https://www.wikidata.org/wiki/Q2641863),https://ncatlab.org/nlab/show/Alexander%2BBraverman
[Q82750](https://www.wikidata.org/wiki/Q82750),https://ncatlab.org/nlab/show/Alexander%2BCampbell
[Q99544](https://www.wikidata.org/wiki/Q99544),https://ncatlab.org/nlab/show/Alexander%2BEngel
