Wikidata ID,Wikidata Label,BCT Name,BCT Link,Chicago Name,Chicago Link,Clowder Name,Clowder Link,Context Name,Context Link,Mathlib Name,Mathlib Link,nLab Name,nLab Link,PlanetMath Name,PlanetMath Link,Wikipedia Link
Q1047080,Differential form,,,differential k-form,https://mathgloss.github.io/MathGloss/chicago/differential_k-form,,,,,,,differential form,https://ncatlab.org/nlab/show/differential+form,differential form,http://planetmath.org/differentialform,https://en.wikipedia.org/wiki/Differential%20form
Q1047307,Bundle (mathematics),,,,,,,,,,,bundle,https://ncatlab.org/nlab/show/bundle,,,https://en.wikipedia.org/wiki/Bundle%20%28mathematics%29
Q1047475,Casimir element,,,,,,,,,,,Casimir operator,https://ncatlab.org/nlab/show/Casimir+operator,Casimir operator,http://planetmath.org/casimiroperator,https://en.wikipedia.org/wiki/Casimir%20element
Q104752,Coprime integers,,,coprime,https://mathgloss.github.io/MathGloss/chicago/coprime,,,,,,,coprime integers,https://ncatlab.org/nlab/show/coprime+integers,probability that two positive integers are relatively prime,http://planetmath.org/probabilitythattwopositiveintegersarerelativelyprime,https://en.wikipedia.org/wiki/Coprime%20integers
Q1047547,Algebraically closed field,,,,,,,,,algebraically closed field,https://leanprover-community.github.io/mathlib4_docs/Mathlib/FieldTheory/IsAlgClosed/Basic.html#IsAlgClosed,algebraically closed field,https://ncatlab.org/nlab/show/algebraically+closed+field,algebraically closed,http://planetmath.org/algebraicallyclosed,https://en.wikipedia.org/wiki/Algebraically%20closed%20field
Q1047683,Quasiparticle,,,,,,,,,,,quasiparticle,https://ncatlab.org/nlab/show/quasiparticle,,,https://en.wikipedia.org/wiki/Quasiparticle
Q1047702,Renormalization,,,,,,,,,,,renormalization,https://ncatlab.org/nlab/show/renormalization,,,https://en.wikipedia.org/wiki/Renormalization
Q1047749,Turán's theorem,,,,,,,,,Turán's theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Combinatorics/SimpleGraph/Extremal/Turan.html#SimpleGraph.isTuranMaximal_iff_nonempty_iso_turanGraph,,,,,https://en.wikipedia.org/wiki/Tur%C3%A1n%27s%20theorem
Q1047822,Quantum Hall effect,,,,,,,,,,,quantum Hall effect,https://ncatlab.org/nlab/show/quantum+Hall+effect,,,https://en.wikipedia.org/wiki/Quantum%20Hall%20effect
Q104804789,Essential infimum and essential supremum,,,,,,,,,,,essentially bounded function,https://ncatlab.org/nlab/show/essentially+bounded+function,essential supremum,http://planetmath.org/essentialsupremum,https://en.wikipedia.org/wiki/Essential%20infimum%20and%20essential%20supremum
Q1048057,Antiprism,,,,,,,,,,,,,antiprism,http://planetmath.org/antiprism,https://en.wikipedia.org/wiki/Antiprism
Q1048264,Zeta function regularization,,,,,,,,,,,zeta function regularization,https://ncatlab.org/nlab/show/zeta+function+regularization,,,https://en.wikipedia.org/wiki/Zeta%20function%20regularization
Q104835835,Abelian 2-group,,,,,,,,,,,Picard stack,https://ncatlab.org/nlab/show/Picard+stack,,,https://en.wikipedia.org/wiki/Abelian%202-group
Q104837,Phase (matter),,,,,,,,,,,phase of matter,https://ncatlab.org/nlab/show/phase+of+matter,,,https://en.wikipedia.org/wiki/Phase%20%28matter%29
Q104841440,Selection theorem,,,,,,,,,,,selection theorem,https://ncatlab.org/nlab/show/selection+theorem,,,https://en.wikipedia.org/wiki/Selection%20theorem
