title,link
presented group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/PresentedGroup.html#PresentedGroup
Schreier's lemma,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/Schreier.html#Subgroup.closure_mul_image_eq
cyclic group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#IsCyclic
nilpotent group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/Nilpotent.html#Group.IsNilpotent
permutation group of a type,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Logic/Equiv/Defs.html#Equiv.Perm
structure of finitely generated abelian groups,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/FiniteAbelian/Basic.html#AddCommGroup.equiv_free_prod_directSum_zmod
first Sylow theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/Sylow.html#Sylow.exists_subgroup_card_pow_prime
second Sylow theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/Sylow.html#Sylow.isPretransitive_of_finite
third Sylow theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/Sylow.html#card_sylow_modEq_one
ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Ring/Defs.html#Ring
ring morphism,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Ring/Hom/Defs.html#RingHom
the category of rings,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Category/Ring/Basic.html#RingCat
subring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Ring/Subring/Defs.html#Subring
localization,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/MonoidLocalization/Basic.html#Localization
local ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/LocalRing/Defs.html#IsLocalRing
Noetherian ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Noetherian/Defs.html#IsNoetherianRing
ordered ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Order/Ring/Defs.html#OrderedRing
ideal of a commutative ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Ideal/Defs.html#Ideal
quotient ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Ideal/Quotient/Defs.html#Ideal.Quotient.ring
prime ideal,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Ideal/Prime.html#Ideal.IsPrime
maximal ideal,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Ideal/Maximal.html#Ideal.IsMaximal
Chinese remainder theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Ideal/Quotient/Operations.html#Ideal.quotientInfRingEquivPiQuotient
fractional ideal,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/FractionalIdeal/Basic.html#FractionalIdeal
first isomorphism theorem for commutative rings,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Ideal/Quotient/Operations.html#RingHom.quotientKerEquivOfSurjective
irreducible element,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Irreducible/Defs.html#Irreducible
coprime element,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Coprime/Basic.html#IsCoprime
unique factorisation domain,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/UniqueFactorizationDomain/Defs.html#UniqueFactorizationMonoid
greatest common divisor,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/GCDMonoid/Basic.html#GCDMonoid.gcd
least common multiple,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/GCDMonoid/Basic.html#GCDMonoid.lcm
principal ideal domain,https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/Span/Defs.html#Submodule.IsPrincipal
Euclidean domain,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain
Euclid's' algorithm,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Data/Int/GCD.html#Nat.xgcd
Euler's totient function ($\varphi$),https://leanprover-community.github.io/mathlib4_docs/Mathlib/Data/Nat/Totient.html#Nat.totient
Lucas-Lehmer primality test,https://leanprover-community.github.io/mathlib4_docs/Mathlib/NumberTheory/LucasLehmer.html#lucas_lehmer_sufficiency
polynomial in one indeterminate,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Polynomial/Basic.html#Polynomial
