Wikidata ID,Wikidata Label,BCT Name,BCT Link,Chicago Name,Chicago Link,Clowder Name,Clowder Link,Context Name,Context Link,Mathlib Name,Mathlib Link,nLab Name,nLab Link,PlanetMath Name,PlanetMath Link
Q5419510,exceptional inverse image functor,,,,,,,,,,,exceptional inverse image,https://ncatlab.org/nlab/show/exceptional+inverse+image,,
Q5419511,Exceptional object,,,,,,,,,,,exceptional structure,https://ncatlab.org/nlab/show/exceptional+structure,,
Q5420020,Exercise (mathematics),,,,,,,,,,,exercise,https://ncatlab.org/nlab/show/exercise,,
Q5420362,Existentially closed model,,,,,,,,,,,existentially closed model,https://ncatlab.org/nlab/show/existentially+closed+model,,
Q5420776,expansion,,,,,,,,,,,expansion,https://ncatlab.org/nlab/show/expansion,,
Q5421271,Explicit substitution,,,,,,,,,,,explicit substitution,https://ncatlab.org/nlab/show/explicit+substitution,,
Q5421272,Explicit formulae for L-functions,,,,,,,,,,,explicit formulae (L-function),https://ncatlab.org/nlab/show/explicit+formulae+%28L-function%29,,
Q5421519,Exponential field,,,,,,,,,,,exponential ring,https://ncatlab.org/nlab/show/exponential+ring,,
Q5421910,Extendible cardinal,,,,,,,,,,,extendible cardinal,https://ncatlab.org/nlab/show/extendible+cardinal,,
Q5421983,exterior bundle,,,,,,,,,,,exterior bundle,https://ncatlab.org/nlab/show/exterior+bundle,,
Q5421988,Exterior covariant derivative,,,,,,,,,,,exterior covariant derivative,https://ncatlab.org/nlab/show/exterior+covariant+derivative,,
Q5422217,Extranatural transformation,,,,,,,extranatural transformation,https://emilyriehl.github.io/files/context.pdf#page=46,,,extranatural transformation,https://ncatlab.org/nlab/show/extranatural+transformation,,
Q5423545,E∞-operad,,,,,,,,,,,E-infinity operad,https://ncatlab.org/nlab/show/E-infinity+operad,,
Q5427896,Fabius function,,,,,,,,,,,Fabius function,https://ncatlab.org/nlab/show/Fabius+function,,
Q5428744,factorization lemma,,,,,,,,,,,factorization lemma,https://ncatlab.org/nlab/show/factorization+lemma,,
Q5428747,factorization system,,,,,,,,,,,weak factorization system,https://ncatlab.org/nlab/show/weak+factorization+system,,
Q5431294,faithful representation,,,,,,,,,,,faithful representation,https://ncatlab.org/nlab/show/faithful+representation,,
Q543413,AdS/CFT correspondence,,,,,,,,,,,AdS-CFT correspondence,https://ncatlab.org/nlab/show/AdS-CFT+correspondence,,
Q543956,monodromy,,,,,,,,,,,monodromy,https://ncatlab.org/nlab/show/monodromy,monodromy group,http://planetmath.org/monodromygroup
Q544,Solar System,,,,,,,,,,,solar system,https://ncatlab.org/nlab/show/solar+system,,
Q544292,Lagrange inversion theorem,,,,,,,,,,,Lagrange inversion,https://ncatlab.org/nlab/show/Lagrange+inversion,,
Q5443006,Fenchel–Nielsen coordinates,,,,,,,,,,,Fenchel-Nielsen coordinates,https://ncatlab.org/nlab/show/Fenchel-Nielsen+coordinates,,
