Wikidata ID,Wikidata Label,BCT Name,BCT Link,Chicago Name,Chicago Link,Clowder Name,Clowder Link,Context Name,Context Link,Mathlib Name,Mathlib Link,nLab Name,nLab Link,PlanetMath Name,PlanetMath Link
Q1049064,symplectomorphism,,,,,,,,,,,symplectomorphism group,https://ncatlab.org/nlab/show/symplectomorphism+group,,
Q104962,hypotenuse,,,,,,,,,,,,,hypotenuse,http://planetmath.org/hypotenuse
Q1049869,Lebesgue number,,,,,,,,,,,Lebesgue number lemma,https://ncatlab.org/nlab/show/Lebesgue+number+lemma,Lebesgue number lemma,http://planetmath.org/lebesguenumberlemma
Q1049914,matrix multiplication,,,matrix multiplication,https://mathgloss.github.io/MathGloss/chicago/matrix_multiplication,,,,,,,,,,
Q1049915,spinor bundle,,,,,,,,,,,spinor field,https://ncatlab.org/nlab/show/spinor+field,,
Q1050120,matrix group,,,,,,,,,,,linear group,https://ncatlab.org/nlab/show/linear+group,,
Q1050203,Cantor's intersection theorem,,,,,,,,,,,,,Cantor’s Intersection Theorem,http://planetmath.org/cantorsintersectiontheorem
Q1050230,maximum modulus principle,,,,,,,,,maximum modulus principle,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Complex/AbsMax.html#Complex.eventually_eq_of_isLocalMax_norm,,,,
Q105063196,Adams resolution,,,,,,,,,,,Adams resolution,https://ncatlab.org/nlab/show/Adams+resolution,,
Q105085931,Cycle,,,cycle,https://mathgloss.github.io/MathGloss/chicago/cycle,,,,,,,cycle,https://ncatlab.org/nlab/show/cycle,cycle,http://planetmath.org/cycle12
Q1050932,Hartogs' theorem,,,,,,,,,,,,,Hartogs’ theorem,http://planetmath.org/hartogstheorem
Q105095528,Convergence space,,,,,,,,,,,preconvergence space,https://ncatlab.org/nlab/show/preconvergence+space,,
Q1051074,Type 0 string,,,,,,,,,,,type 0 string theory,https://ncatlab.org/nlab/show/type+0+string+theory,,
Q1051404,Cauchy product,,,,,,,,,,,,,Cauchy product,http://planetmath.org/cauchyproduct
Q1051696,NS5-brane,,,,,,,,,,,NS5-brane,https://ncatlab.org/nlab/show/NS5-brane,,
Q1051902,Sparticle,,,,,,,,,,,superparticle,https://ncatlab.org/nlab/show/superparticle,,
Q1051925,resolution,,,,,,,,,,,resolution,https://ncatlab.org/nlab/show/resolution,,
Q1051983,cyclotomic polynomial,,,cyclotomic polynomial,https://mathgloss.github.io/MathGloss/chicago/cyclotomic_polynomial,,,,,,,,,cyclotomic polynomial,http://planetmath.org/cyclotomicpolynomial
Q105200232,Texas Instruments TMS1100,,,,,,,,,,,,,Texas Instruments,http://planetmath.org/texasinstruments
Q1052021,Craig interpolation,,,,,,,,,,,Craig interpolation theorem,https://ncatlab.org/nlab/show/Craig+interpolation+theorem,,
Q1052451,orientation,,,orientation,https://mathgloss.github.io/MathGloss/chicago/orientation,,,,,,,orientation,https://ncatlab.org/nlab/show/orientation,orientation,http://planetmath.org/orientation1
Q1052579,Unique factorization domain,,,unique factorization domain,https://mathgloss.github.io/MathGloss/chicago/unique_factorization_domain,,,,,unique factorisation domain,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/UniqueFactorizationDomain/Defs.html#UniqueFactorizationMonoid,unique factorization domain,https://ncatlab.org/nlab/show/unique+factorization+domain,,
Q1052674,symmetric algebra,,,,,,,,,,,symmetric midpoint algebra,https://ncatlab.org/nlab/show/symmetric+midpoint+algebra,symmetric algebra,http://planetmath.org/symmetricalgebra
