title,link,suggestion
$A[{X_i}]$ is a UFD when $A$ is a UFD,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Polynomial/UniqueFactorization.html#MvPolynomial.uniqueFactorizationMonoid,$A[X_i]$ is a UFD when $A$ is a UFD
principal ideal domain,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Span/Defs.html#Submodule.IsPrincipal,Principal ideal domain
Euclidean rings,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,Euclidean ring
Euclid's' algorithm,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/Int/GCD.html#Nat.xgcd,Euclid's algorithm
$\Z$ is a euclidean ring,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/EuclideanDomain/Int.html#Int.euclideanDomain,$\Z$ is a Euclidean ring
congruence in $\Z$,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/Int/ModEq.html#Int.ModEq,Congruence in $\mathbb{Z}$
prime numbers,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Prime/Defs.html#Prime,prime number
Bézout's identity,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/PrincipalIdealDomain.html#exists_gcd_eq_mul_add_mul,Bézout's identity
$\Z/n\Z$ and its invertible elements,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/ZMod/Basic.html#ZMod.unitOfCoprime,$\Z/n\Z$ and its invertible element
Euler's totient function ($\varphi$),https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/Nat/Totient.html#Nat.totient,Euler's totient function ($\varphi$)
$K[X]$ is a euclidean ring when $K$ is a field,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Polynomial/FieldDivision.html#Polynomial.instEuclideanDomain,$K[X]$ is a Euclidean ring when $K$ is a field.
irreducible polynomial,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Prime/Defs.html#Irreducible,Irreducible polynomial
cyclotomic polynomials in $\Q[X]$,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Polynomial/Cyclotomic/Basic.html#Polynomial.cyclotomic,Cyclotomic polynomial in $\Q[X]$
Eisenstein's criterion,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/EisensteinCriterion.html#Polynomial.irreducible_of_eisenstein_criterion,Eisenstein's criterion
polynomial algebra in one or several indeterminates over a commutative ring,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/MvPolynomial/Basic.html#MvPolynomial,Polynomial algebra in one indeterminate over a commutative ring
roots of a polynomial,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Polynomial/Roots.html#Polynomial.roots,Root of a polynomial
multiplicity,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Polynomial/Div.html#Polynomial.rootMultiplicity,Multiplicity
relationship between the coefficients and the roots of a split polynomial,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Polynomial/Vieta.html#Polynomial.coeff_eq_esymm_roots_of_card,Relationship between the coefficient and the root of a split polynomial
Newton's identities,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/MvPolynomial/Symmetric/NewtonIdentities.html#MvPolynomial.mul_esymm_eq_sum,Newton's identity
polynomial derivative,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Polynomial/Derivative.html#Polynomial.derivative,Polynomial derivative
decomposition into sums of homogeneous polynomials,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/MvPolynomial/Homogeneous.html#MvPolynomial.sum_homogeneousComponent,decomposition into sum of homogeneous polynomial
symmetric polynomials,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/MvPolynomial/Symmetric/Defs.html#MvPolynomial.IsSymmetric,Symmetric Polynomial
fields,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Field/Defs.html#Field,Field
characteristic of a ring,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/CharP/Defs.html#ringChar,Characteristic of a ring
characteristic zero,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/CharZero/Defs.html#CharZero,characteristic zero
characteristic p,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/CharP/Defs.html#CharP,Characteristic p
Subfields,https://leanprover-community.github.io//mathlib4_docs/field_theory/subfield.html,Subfield
Frobenius morphisms,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/CharP/Lemmas.html#frobenius,Frobenius morphism
field $\Q$ of rational numbers,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Field/Rat.html#Rat.instField,Field $\Q$
field $\R$ of real numbers,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/Real/Basic.html#Real.field,field $\mathbb{R}$
field $\C$ of complex numbers,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/Complex/Basic.html#Complex.instField,Field $\C$
$\C$ is algebraically closed,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Complex/Polynomial/Basic.html#Complex.exists_root,Algebraically closed
field of fractions of an integral domain,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Localization/FractionRing.html#IsFractionRing,Field of fractions of an integral domain
algebraic elements,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Algebraic/Defs.html#IsAlgebraic,Algebraic element
transcendental elements,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Algebraic/Defs.html#Transcendental,Transcendental element
algebraic extensions,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Algebraic/Defs.html#Algebra.IsAlgebraic,algebraic extension
algebraically closed fields,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/FieldTheory/IsAlgClosed/Basic.html#IsAlgClosed,Algebraically closed field
rupture fields,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/AdjoinRoot.html#AdjoinRoot,rupture field
splitting fields,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/FieldTheory/SplittingField/Construction.html#Polynomial.SplittingField,Splitting field
finite fields,https://leanprover-community.github.io//mathlib4_docs/field_theory/finite.html,finite field
rational fraction fields with one indeterminate over a field,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/FieldTheory/RatFunc/Defs.html#RatFunc,Rational fraction field with one indeterminate over a field
bilinear forms,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/BilinearMap.html#LinearMap.BilinForm,Bilinear form
alternating bilinear forms,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/BilinearForm/Properties.html#LinearMap.BilinForm.IsAlt,alternating bilinear form
symmetric bilinear forms,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/BilinearForm/Properties.html#LinearMap.BilinForm.IsSymm,symmetric bilinear form
nondegenerate forms,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/BilinearForm/Properties.html#LinearMap.BilinForm.Nondegenerate,nondegenerate form
matrix representation,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Matrix/BilinearForm.html#BilinForm.toMatrix,matrix representation
change of coordinates,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Matrix/BilinearForm.html#BilinForm.toMatrix_comp,change of coordinate
quadratic form,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/QuadraticForm/Basic.html#QuadraticForm,Quadratic form
polar form of a quadratic,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/QuadraticForm/Basic.html#QuadraticMap.polar,Polar form of a quadratic
orthogonal elements,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/BilinearForm/Orthogonal.html#LinearMap.BilinForm.IsOrtho,Orthogonal element
adjoint endomorphism,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/BilinearForm/Properties.html#LinearMap.BilinForm.leftAdjointOfNondegenerate,Adjoint endomorphism
Gram-Schmidt orthogonalisation,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/GramSchmidtOrtho.html#gramSchmidt_orthogonal,Gram-Schmidt orthogonalization
Euclidean vector spaces,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/Defs.html#InnerProductSpace,Euclidean vector space
Hermitian vector spaces,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/Defs.html#InnerProductSpace,Hermitian vector space
dual isomorphism in the euclidean case,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/Dual.html#InnerProductSpace.toDual,Dual isomorphism in the Euclidean case
orthogonal complement,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/Orthogonal.html#Submodule.orthogonal,Orthogonal complement
Cauchy-Schwarz inequality,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/Basic.html#inner_mul_inner_self_le,Cauchy-Schwarz inequality
norm,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/Defs.html#InnerProductSpace.Core.toNorm,norm
orthonormal bases,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/Projection.html#maximal_orthonormal_iff_basis_of_finiteDimensional,Orthonormal basis
orthogonal group,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/UnitaryGroup.html#Matrix.orthogonalGroup,Orthogonal group
unitary group,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/UnitaryGroup.html#Matrix.unitaryGroup,Unitary group
self-adjoint endomorphism,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Star/SelfAdjoint.html#IsSelfAdjoint,Self-adjoint endomorphism
diagonalization of a self-adjoint endomorphism,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/Spectrum.html#LinearMap.IsSymmetric.eigenvectorBasis_apply_self_apply,diagonalization of a self-adjoint endomorphism
decomposition of an orthogonal transformation as a product of reflections,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/Projection.html#LinearIsometryEquiv.reflections_generate,decomposition of an orthogonal transformation as a product of reflection
cross product,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/CrossProduct.html#crossProduct,cross product
triple product,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/CrossProduct.html#triple_product_eq_det,Triple product
affine space,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/AddTorsor.html#AddTorsor,Affine space
affine function,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/AffineMap.html#AffineMap,Affine function
affine subspace,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/AffineSubspace.html#AffineSubspace,Affine subspace
barycenter,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/Combination.html#Finset.affineCombination,Barycenter
affine span,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/AffineSubspace.html#affineSpan,Affine span
affine groups,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/AffineEquiv.html#AffineEquiv.group,Affine group
convex subsets,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Convex/Basic.html#Convex,Convex subset
convex hull of a subset of an affine real space,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Convex/Hull.html#convexHull,Convex hull of a subset of an affine real space
extreme point,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Convex/Extreme.html#Set.extremePoints,Extreme point
isometries of a Euclidean affine space,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Normed/Affine/Isometry.html#AffineIsometryEquiv,Isometry of a Euclidean affine space
group of isometries of a Euclidean affine space,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Normed/Affine/Isometry.html#AffineIsometryEquiv.instGroup,Isometry
angles between vectors,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Geometry/Euclidean/Angle/Unoriented/Basic.html#InnerProductGeometry.angle,angle between vectors
cocyclicity,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Geometry/Euclidean/Sphere/Basic.html#EuclideanGeometry.Concyclic,Cocyclicity
definition of $\R$,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/Real/Basic.html#Real,Definition of $\mathbb{R}$
field structure,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/Real/Basic.html#Real.field,Field structure
order,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/Real/Basic.html#Real.linearOrder,order
convergence,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Order/Filter/Defs.html#Filter.Tendsto,Convergence
limit point,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/Defs/Filter.html#MapClusterPt,Limit point
recurrent sequences,https://leanprover-community.github.io//mathlib4_docs/./Init/Prelude.html#Nat,Recurrent sequence
limit infimum and supremum,https://leanprover-community.github.io//mathlib4_docs/order/liminf_limsup.html,Limit infimum and supremum
Cauchy sequences,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/UniformSpace/Cauchy.html#CauchySeq,Cauchy sequence
metric structure,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/MetricSpace/Basic.html#Real.metricSpace,Metric structure
completeness of R,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/Instances/Real.html#Real.instCompleteSpace,completeness of R
Bolzano-Weierstrass theorem,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/MetricSpace/Sequences.html#tendsto_subseq_of_bounded,Bolzano-Weierstrass theorem
compact subsets of $\R$,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/MetricSpace/Bounded.html#Metric.isCompact_iff_isClosed_bounded,Compact subset of $\R$
