Wikidata ID,Wikidata Label,Chicago Notes,MathLib Undergrad,Topoi,BCT,Context,nlab
[Q11197](https://www.wikidata.org/wiki/Q11197),logarithm,,[logarithms](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Analysis/SpecialFunctions/Log/Basic.html#Real.log),,,https://ncatlab.org/nlab/show/logarithm,
[Q1334417](https://www.wikidata.org/wiki/Q1334417),Lorentz group,[lorentz group](https://mathgloss.github.io/MathGloss/chicago/lorentz_group),,,,https://ncatlab.org/nlab/show/Lorentz%2Bgroup,
[Q305936](https://www.wikidata.org/wiki/Q305936),Lp space,[lp space](https://mathgloss.github.io/MathGloss/chicago/lp_space),[lp space](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/MeasureTheory/Function/LpSpace.html#MeasureTheory.Lp),,,https://ncatlab.org/nlab/show/p-norm,
[Q1361393](https://www.wikidata.org/wiki/Q1361393),Lusin's theorem,[lusin function](https://mathgloss.github.io/MathGloss/chicago/lusin_function),,,,,
[Q679903](https://www.wikidata.org/wiki/Q679903),magma,[magma](https://mathgloss.github.io/MathGloss/chicago/magma),,,,https://ncatlab.org/nlab/show/unital%2Bmagma,
[Q257](https://www.wikidata.org/wiki/Q257),Mandelbrot set,[mandelbrot set](https://mathgloss.github.io/MathGloss/chicago/mandelbrot_set),,,,https://ncatlab.org/nlab/show/Mandelbrot%2Bset,
[Q203920](https://www.wikidata.org/wiki/Q203920),manifold,[manifold](https://mathgloss.github.io/MathGloss/chicago/manifold),,,,https://ncatlab.org/nlab/show/manifold%2Bwith%2Bboundary,
[Q11348](https://www.wikidata.org/wiki/Q11348),function,,,[Function](https://mathgloss.github.io/CatGloss/topoi/function),,https://ncatlab.org/nlab/show/function,
[Q1014869](https://www.wikidata.org/wiki/Q1014869),mapping cylinder,[mapping cylinder](https://mathgloss.github.io/MathGloss/chicago/mapping_cylinder),,,,https://ncatlab.org/nlab/show/mapping%2Btelescope,
[Q656198](https://www.wikidata.org/wiki/Q656198),Maschke's theorem,,[maschke theorem](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/RepresentationTheory/Maschke.html#MonoidAlgebra.Submodule.exists_isCompl),,,https://ncatlab.org/nlab/show/Maschke%27s%2Btheorem,
[Q1191722](https://www.wikidata.org/wiki/Q1191722),matrix exponential,,[matrix exponential](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Analysis/NormedSpace/Exponential.html#exp),,,,
[Q622679](https://www.wikidata.org/wiki/Q622679),Lie group,[matrix lie group](https://mathgloss.github.io/MathGloss/chicago/matrix_lie_group),,,,https://ncatlab.org/nlab/show/matrix%2BLie%2Bgroup,
[Q902017](https://www.wikidata.org/wiki/Q902017),logarithm of a matrix,[matrix logarithm](https://mathgloss.github.io/MathGloss/chicago/matrix_logarithm),,,,,
[Q1049914](https://www.wikidata.org/wiki/Q1049914),matrix multiplication,[matrix multiplication](https://mathgloss.github.io/MathGloss/chicago/matrix_multiplication),,,,,
[Q6787889](https://www.wikidata.org/wiki/Q6787889),matrix representation,,[matrix representation](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/LinearAlgebra/Matrix/BilinearForm.html#BilinForm.toMatrix),,,,
[Q223683](https://www.wikidata.org/wiki/Q223683),transpose matrix,[matrix transpose](https://mathgloss.github.io/MathGloss/chicago/matrix_transpose),,,[Transpose](https://mathgloss.github.io/CatGloss/bct/transpose),https://ncatlab.org/nlab/show/transpose%2Bmatrix,
[Q44337](https://www.wikidata.org/wiki/Q44337),matrix,[matrix](https://mathgloss.github.io/MathGloss/chicago/matrix),,,,https://ncatlab.org/nlab/show/principal%2Bsubmatrix,
[Q1203540](https://www.wikidata.org/wiki/Q1203540),maximal ideal,[maximal ring ideal](https://mathgloss.github.io/MathGloss/chicago/maximal_ring_ideal),,,,https://ncatlab.org/nlab/show/maximal%2Bideal,
[Q16908484](https://www.wikidata.org/wiki/Q16908484),maximal subgroup,[maximal subgroup](https://mathgloss.github.io/MathGloss/chicago/maximal_subgroup),,,,https://ncatlab.org/nlab/show/maximal%2Bsubgroup,
