Wikidata ID,Wikidata Label,Chicago,Mathlib,nLab,Context,PlanetMath
[Q803936](https://www.wikidata.org/wiki/Q803936),Baire space (set theory),,,[Baire space](https://ncatlab.org/nlab/show/Baire%20space),,[Baire space](http://planetmath.org/bairespace1)
[Q778785](https://www.wikidata.org/wiki/Q778785),Balanced set,,,[circled set](https://ncatlab.org/nlab/show/circled%20set),,[balanced set](http://planetmath.org/balancedset)
[Q806066](https://www.wikidata.org/wiki/Q806066),Banach algebra,,,[Banach ring](https://ncatlab.org/nlab/show/Banach%20ring),,[spectral mapping theorem](http://planetmath.org/spectralmappingtheorem)
[Q220680](https://www.wikidata.org/wiki/Q220680),Banach fixed-point theorem,,[contraction mapping theorem](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/MetricSpace/Contracting.html#ContractingWith.exists_fixedPoint),,,[Banach fixed point theorem](http://planetmath.org/banachfixedpointtheorem)
[Q194397](https://www.wikidata.org/wiki/Q194397),Banach space,[Banach space](https://mathgloss.github.io/MathGloss/chicago/banach_space),,[Banach space](https://ncatlab.org/nlab/show/Banach%20space),,[Banach space](http://planetmath.org/banachspace)
[Q3459695](https://www.wikidata.org/wiki/Q3459695),Banach–Mazur game,[Banach-Mazur game](https://mathgloss.github.io/MathGloss/chicago/banach-mazur_game),,,,
[Q809690](https://www.wikidata.org/wiki/Q809690),Barycenter,,[barycenter](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/Combination.html#Finset.affineCombination),[barycenter](https://ncatlab.org/nlab/show/barycenter),,
[Q738422](https://www.wikidata.org/wiki/Q738422),Barycentric coordinate system,[barycentric coordinates](https://mathgloss.github.io/MathGloss/chicago/barycentric_coordinates),,,,[barycentric coordinates](http://planetmath.org/barycentriccoordinates)
[Q4078260](https://www.wikidata.org/wiki/Q4078260),Barycentric subdivision,[barycentric subdivision](https://mathgloss.github.io/MathGloss/chicago/barycentric_subdivision),,,,
[Q9332](https://www.wikidata.org/wiki/Q9332),Behavior,,,[behavior](https://ncatlab.org/nlab/show/behavior),,[behavior](http://planetmath.org/behavior)
[Q133871](https://www.wikidata.org/wiki/Q133871),Bell Curve,,,[Gaussian probability distribution](https://ncatlab.org/nlab/show/Gaussian%20probability%20distribution),,[normal random variable](http://planetmath.org/normalrandomvariable)
[Q694114](https://www.wikidata.org/wiki/Q694114),Bernoulli number,,,[Bernoulli number](https://ncatlab.org/nlab/show/Bernoulli%20number),,[generalized Bernoulli number](http://planetmath.org/generalizedbernoullinumber)
[Q2346201](https://www.wikidata.org/wiki/Q2346201),Bernoulli polynomials,,,[Bernoulli polynomial](https://ncatlab.org/nlab/show/Bernoulli%20polynomial),,[Euler polynomial](http://planetmath.org/eulerpolynomial)
[Q181328](https://www.wikidata.org/wiki/Q181328),Bernoulli's equation,,[Bernoulli law](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Probability/ProbabilityMassFunction/Constructions.html#PMF.bernoulli),,,
[Q1750507](https://www.wikidata.org/wiki/Q1750507),Beta function (physics),,,[beta function](https://ncatlab.org/nlab/show/beta%20function),,[beta function](http://planetmath.org/betafunction)
[Q429593](https://www.wikidata.org/wiki/Q429593),Betti number,,,[Betti number](https://ncatlab.org/nlab/show/Betti%20number),,[Betti number](http://planetmath.org/bettinumber)
