Wikidata ID,Wikidata Label,Chicago,Mathlib,nLab,Context,PlanetMath
[Q176786](https://www.wikidata.org/wiki/Q176786),Intuitionistic logic,,,[intuitionistic logic](https://ncatlab.org/nlab/show/intuitionistic%20logic),,[intuitionistic logic](http://planetmath.org/intuitionisticlogic)
[Q188211](https://www.wikidata.org/wiki/Q188211),Invariant (mathematics),,,[invariant](https://ncatlab.org/nlab/show/invariant),,[invariant](http://planetmath.org/invariant)
[Q2920801](https://www.wikidata.org/wiki/Q2920801),Invariant polynomial,,,[invariant polynomial](https://ncatlab.org/nlab/show/invariant%20polynomial),,[invariant polynomial](http://planetmath.org/invariantpolynomial)
[Q2706744](https://www.wikidata.org/wiki/Q2706744),Invariant subspace,[invariant subspace](https://mathgloss.github.io/MathGloss/chicago/invariant_subspace),,,,[invariant subspace](http://planetmath.org/invariantsubspace)
[Q338057](https://www.wikidata.org/wiki/Q338057),Inverse element,[inverse element](https://mathgloss.github.io/MathGloss/chicago/inverse_element),,,,[I-semigroup](http://planetmath.org/isemigroup)
[Q191884](https://www.wikidata.org/wiki/Q191884),Inverse function,[inverse function](https://mathgloss.github.io/MathGloss/chicago/inverse_function),,[inverse function](https://ncatlab.org/nlab/show/inverse%20function),,[inverse function](http://planetmath.org/inversefunction)
[Q2358071](https://www.wikidata.org/wiki/Q2358071),Inverse Galois problem,,,[inverse Galois problem](https://ncatlab.org/nlab/show/inverse%20Galois%20problem),,[inverse Galois problem](http://planetmath.org/inversegaloisproblem)
[Q2634828](https://www.wikidata.org/wiki/Q2634828),Inverse limit,,,[projective limit](https://ncatlab.org/nlab/show/projective%20limit),[inverse limit](https://mathgloss.github.io/MathGloss/context/inverse_limit),[inverse limit](http://planetmath.org/inverselimit)
[Q3022118](https://www.wikidata.org/wiki/Q3022118),Inverse semigroup,,,[Wagner-Preston theorem](https://ncatlab.org/nlab/show/Wagner-Preston%20theorem),,[Wagner-Preston representation theorem](http://planetmath.org/wagnerprestonrepresentationtheorem)
[Q674533](https://www.wikidata.org/wiki/Q674533),Inverse trigonometric functions,,[inverse trigonometric functions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/SpecialFunctions/Trigonometric/Inverse.html#Real.arcsin),[inverse trigonometric function](https://ncatlab.org/nlab/show/inverse%20trigonometric%20function),,[cyclometric functions](http://planetmath.org/cyclometricfunctions)
[Q6073574](https://www.wikidata.org/wiki/Q6073574),Irreducible component,,,[irreducible component](https://ncatlab.org/nlab/show/irreducible%20component),,[irreducible component](http://planetmath.org/irreduciblecomponent1)
[Q2989575](https://www.wikidata.org/wiki/Q2989575),Irreducible element,[irreducible element of an integral domain](https://mathgloss.github.io/MathGloss/chicago/irreducible_element_of_an_integral_domain),[irreducible elements](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Prime/Defs.html#Irreducible),[irreducible element](https://ncatlab.org/nlab/show/irreducible%20element),,
[Q17098198](https://www.wikidata.org/wiki/Q17098198),Irreducible ideal,,,[irreducible ideal](https://ncatlab.org/nlab/show/irreducible%20ideal),,[irreducible ideal](http://planetmath.org/irreducibleideal)
[Q1476663](https://www.wikidata.org/wiki/Q1476663),Irreducible polynomial,,[irreducible polynomial](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Prime/Defs.html#Irreducible),[irreducible polynomial](https://ncatlab.org/nlab/show/irreducible%20polynomial),,[irreducible polynomial](http://planetmath.org/irreduciblepolynomial)
[Q1673182](https://www.wikidata.org/wiki/Q1673182),Irreducible set,,,[irreducible topological space](https://ncatlab.org/nlab/show/irreducible%20topological%20space),,[hyperconnected space](http://planetmath.org/hyperconnectedspace)
[Q621850](https://www.wikidata.org/wiki/Q621850),Irreflexive relation,[reflexive](https://mathgloss.github.io/MathGloss/chicago/reflexive),,[reflexive relation](https://ncatlab.org/nlab/show/reflexive%20relation),,[reflexive relation](http://planetmath.org/reflexiverelation)
[Q1674414](https://www.wikidata.org/wiki/Q1674414),Isogeny,,,[isogeny](https://ncatlab.org/nlab/show/isogeny),,[isogeny](http://planetmath.org/isogeny)
[Q1142889](https://www.wikidata.org/wiki/Q1142889),Isolated point,[isolated point](https://mathgloss.github.io/MathGloss/chicago/isolated_point),,[isolated point](https://ncatlab.org/nlab/show/isolated%20point),,
[Q740207](https://www.wikidata.org/wiki/Q740207),Isometry,[isometry](https://mathgloss.github.io/MathGloss/chicago/isometry),[group of isometries of a Euclidean affine space](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Normed/Affine/Isometry.html#AffineIsometryEquiv.instGroup),[linear isometry](https://ncatlab.org/nlab/show/linear%20isometry),,[isometric isomorphism](http://planetmath.org/isometricisomorphism)
[Q16799755](https://www.wikidata.org/wiki/Q16799755),Isometry (disambiguation),,,[isometry](https://ncatlab.org/nlab/show/isometry),,[isometry](http://planetmath.org/isometry)
[Q189112](https://www.wikidata.org/wiki/Q189112),Isomorphic,[isomorphism of group representations](https://mathgloss.github.io/MathGloss/chicago/isomorphism_of_group_representations),,[isomorphism](https://ncatlab.org/nlab/show/isomorphism),[isomorphic](https://mathgloss.github.io/MathGloss/context/isomorphic),[isomorphism](http://planetmath.org/isomorphism)
[Q6086107](https://www.wikidata.org/wiki/Q6086107),Isomorphic categories,,,,[isomorphism of categories](https://mathgloss.github.io/MathGloss/context/isomorphism_of_categories),
[Q17098238](https://www.wikidata.org/wiki/Q17098238),Isotypic component,[isotypic component](https://mathgloss.github.io/MathGloss/chicago/isotypic_component),,,,
[Q750099](https://www.wikidata.org/wiki/Q750099),Iwasawa decomposition,,,[Iwasawa decomposition](https://ncatlab.org/nlab/show/Iwasawa%20decomposition),,[Iwasawa decomposition](http://planetmath.org/iwasawadecomposition)
[Q287419](https://www.wikidata.org/wiki/Q287419),J-invariant,,,[j-invariant](https://ncatlab.org/nlab/show/j-invariant),,[j-invariant](http://planetmath.org/jinvariant)
[Q2605695](https://www.wikidata.org/wiki/Q2605695),Jacobian conjecture,,,[Jacobian conjecture](https://ncatlab.org/nlab/show/Jacobian%20conjecture),,[Jacobian conjecture](http://planetmath.org/jacobianconjecture)
[Q506041](https://www.wikidata.org/wiki/Q506041),Jacobian matrix and determinant,[Jacobian matrix](https://mathgloss.github.io/MathGloss/chicago/jacobian_matrix),,,[Jacobian matrix](https://mathgloss.github.io/MathGloss/context/Jacobian_matrix),[Jacobi determinant](http://planetmath.org/jacobideterminant)
[Q1677769](https://www.wikidata.org/wiki/Q1677769),Jacobson radical,,,[radical ring](https://ncatlab.org/nlab/show/radical%20ring),,[Jacobson radical](http://planetmath.org/jacobsonradical)
[Q1269](https://www.wikidata.org/wiki/Q1269),Jam,,,,[preserves](https://mathgloss.github.io/MathGloss/context/preserves),
[Q6188933](https://www.wikidata.org/wiki/Q6188933),Jet bundle,,,[jet space](https://ncatlab.org/nlab/show/jet%20space),,[jet bundle](http://planetmath.org/jetbundle)
[Q6269005](https://www.wikidata.org/wiki/Q6269005),Join (mathematics),,,[meet](https://ncatlab.org/nlab/show/meet),,[meet](http://planetmath.org/meet)
[Q649977](https://www.wikidata.org/wiki/Q649977),Jordan algebra,,,[Jordan superalgebra](https://ncatlab.org/nlab/show/Jordan%20superalgebra),,[Jordan algebra](http://planetmath.org/jordanalgebra)
[Q1703597](https://www.wikidata.org/wiki/Q1703597),Jordan measure,,,[Jordan content](https://ncatlab.org/nlab/show/Jordan%20content),,[polyrectangle](http://planetmath.org/polyrectangle)
[Q848427](https://www.wikidata.org/wiki/Q848427),Julia set,,,[Julia set](https://ncatlab.org/nlab/show/Julia%20set),,[Julia set](http://planetmath.org/juliaset)
[Q6322838](https://www.wikidata.org/wiki/Q6322838),K-homology,,,[K-homology](https://ncatlab.org/nlab/show/K-homology),,[K-homology](http://planetmath.org/khomology)
[Q15615154](https://www.wikidata.org/wiki/Q15615154),K-theory,,,[K-theory](https://ncatlab.org/nlab/show/K-theory),,[K-theory](http://planetmath.org/ktheory)
[Q856666](https://www.wikidata.org/wiki/Q856666),Kac–Moody algebra,,,[Kac-Moody algebra](https://ncatlab.org/nlab/show/Kac-Moody%20algebra),,[Kac-Moody algebra](http://planetmath.org/kacmoodyalgebra)
[Q3055409](https://www.wikidata.org/wiki/Q3055409),Karoubi envelope,,,[split idempotent](https://ncatlab.org/nlab/show/split%20idempotent),[split](https://mathgloss.github.io/MathGloss/context/split),
[Q202400](https://www.wikidata.org/wiki/Q202400),Kernel,,,[kernel](https://ncatlab.org/nlab/show/kernel),,[kernel](http://planetmath.org/kernel1)
[Q574844](https://www.wikidata.org/wiki/Q574844),Kernel (algebra),[kernel of group homomorphism](https://mathgloss.github.io/MathGloss/chicago/kernel_of_group_homomorphism),,,,
[Q2920416](https://www.wikidata.org/wiki/Q2920416),Kernel (category theory),,,,[kernel](https://mathgloss.github.io/MathGloss/context/kernel),
[Q634557](https://www.wikidata.org/wiki/Q634557),Killing form,,,[Killing form](https://ncatlab.org/nlab/show/Killing%20form),,[Killing form](http://planetmath.org/killingform)
[Q2634506](https://www.wikidata.org/wiki/Q2634506),Kleene algebra,,,[Kleene algebra](https://ncatlab.org/nlab/show/Kleene%20algebra),,[Kleene algebra](http://planetmath.org/kleenealgebra1)
[Q23638](https://www.wikidata.org/wiki/Q23638),Klein bottle,,,[Klein bottle](https://ncatlab.org/nlab/show/Klein%20bottle),,[Klein bottle](http://planetmath.org/kleinbottle)
[Q550593](https://www.wikidata.org/wiki/Q550593),Klein four-group,,,[Klein four-group](https://ncatlab.org/nlab/show/Klein%20four-group),,[Klein 4-group](http://planetmath.org/klein4group)
[Q868967](https://www.wikidata.org/wiki/Q868967),Klein–Gordon equation,,,[Klein-Gordon equation](https://ncatlab.org/nlab/show/Klein-Gordon%20equation),,[Klein-Gordon equation](http://planetmath.org/kleingordonequation)
[Q1773982](https://www.wikidata.org/wiki/Q1773982),Kleisli category,,,[Kleisli triple](https://ncatlab.org/nlab/show/Kleisli%20triple),[Kleisli category](https://mathgloss.github.io/MathGloss/context/Kleisli_category),
[Q849798](https://www.wikidata.org/wiki/Q849798),Knot theory,,,[link diagram](https://ncatlab.org/nlab/show/link%20diagram),,[knot theory](http://planetmath.org/knottheory)
[Q1456811](https://www.wikidata.org/wiki/Q1456811),Kolmogorov complexity,,,[Kolmogorov complexity](https://ncatlab.org/nlab/show/Kolmogorov%20complexity),,[Kolmogorov complexity](http://planetmath.org/kolmogorovcomplexity)
[Q601796](https://www.wikidata.org/wiki/Q601796),Korteweg–de Vries equation,,,[Korteweg de Vries equation](https://ncatlab.org/nlab/show/Korteweg%20de%20Vries%20equation),,[Korteweg - de Vries equation](http://planetmath.org/kortewegdevriesequation)
[Q2462350](https://www.wikidata.org/wiki/Q2462350),Kripke semantics,,,[Kripke-Joyal semantics](https://ncatlab.org/nlab/show/Kripke-Joyal%20semantics),,[p-morphism](http://planetmath.org/pmorphism)
[Q192826](https://www.wikidata.org/wiki/Q192826),Kronecker delta,[Kronecker delta](https://mathgloss.github.io/MathGloss/chicago/kronecker_delta),,[Kronecker delta](https://ncatlab.org/nlab/show/Kronecker%20delta),,[Kronecker delta](http://planetmath.org/kroneckerdelta)
[Q1225713](https://www.wikidata.org/wiki/Q1225713),Krull dimension,,,[Krull dimension](https://ncatlab.org/nlab/show/Krull%20dimension),,[Krull dimension](http://planetmath.org/krulldimension)
[Q255166](https://www.wikidata.org/wiki/Q255166),Kullback–Leibler divergence,,,[relative entropy](https://ncatlab.org/nlab/show/relative%20entropy),,[relative entropy](http://planetmath.org/relativeentropy)
[Q1609490](https://www.wikidata.org/wiki/Q1609490),Kähler differentials,,,[Kähler differential](https://ncatlab.org/nlab/show/K%C3%A4hler%20differential),,[universal derivation](http://planetmath.org/universalderivation)
[Q1353916](https://www.wikidata.org/wiki/Q1353916),Kähler manifold,,,[Kähler potential](https://ncatlab.org/nlab/show/K%C3%A4hler%20potential),,[Kähler potential](http://planetmath.org/kahlerpotential)
[Q598870](https://www.wikidata.org/wiki/Q598870),Lagrange multiplier,,,[Lagrange multiplier](https://ncatlab.org/nlab/show/Lagrange%20multiplier),,[Lagrange multiplier method](http://planetmath.org/lagrangemultipliermethod)
[Q861606](https://www.wikidata.org/wiki/Q861606),Lagrange polynomial,,[Lagrange interpolation](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Lagrange.html#Lagrange.interpolate),,,[Lagrange interpolation formula](http://planetmath.org/lagrangeinterpolationformula)
[Q242028](https://www.wikidata.org/wiki/Q242028),Lambda calculus,,,[lambda-calculus](https://ncatlab.org/nlab/show/lambda-calculus),,[lambda calculus](http://planetmath.org/lambdacalculus)
[Q429331](https://www.wikidata.org/wiki/Q429331),Lambert W function,,,[Lambert W-function](https://ncatlab.org/nlab/show/Lambert%20W-function),,[Lambert W function](http://planetmath.org/lambertwfunction)
[Q269878](https://www.wikidata.org/wiki/Q269878),Landau symbol,,,[asymptotic notation](https://ncatlab.org/nlab/show/asymptotic%20notation),,[properties of O and o](http://planetmath.org/propertiesofoando)
[Q199691](https://www.wikidata.org/wiki/Q199691),Laplace transform,,,[Laplace transform](https://ncatlab.org/nlab/show/Laplace%20transform),,[Laplace transform](http://planetmath.org/laplacetransform)
[Q203484](https://www.wikidata.org/wiki/Q203484),Laplacian,[Laplacian](https://mathgloss.github.io/MathGloss/chicago/laplacian),,[Laplace operator](https://ncatlab.org/nlab/show/Laplace%20operator),,[Laplacian](http://planetmath.org/laplacian)
[Q679367](https://www.wikidata.org/wiki/Q679367),Latin square,,,[Latin square](https://ncatlab.org/nlab/show/Latin%20square),,[Latin square](http://planetmath.org/latinsquare)
[Q2754968](https://www.wikidata.org/wiki/Q2754968),LatticE,,,[lattice](https://ncatlab.org/nlab/show/lattice),,[lattice](http://planetmath.org/lattice)
[Q6497088](https://www.wikidata.org/wiki/Q6497088),Lattice (group theory),,,[lattice (discrete subgroup)](https://ncatlab.org/nlab/show/lattice%20%28discrete%20subgroup%29),[meets](https://mathgloss.github.io/MathGloss/context/meets),
[Q3538331](https://www.wikidata.org/wiki/Q3538331),Lattice of subgroups,,,[lattice of subgroups](https://ncatlab.org/nlab/show/lattice%20of%20subgroups),,[lattice of subgroups](http://planetmath.org/latticeofsubgroups)
[Q425432](https://www.wikidata.org/wiki/Q425432),Laurent series,,,[Laurent series](https://ncatlab.org/nlab/show/Laurent%20series),,[Laurent series](http://planetmath.org/laurentseries)
[Q906302](https://www.wikidata.org/wiki/Q906302),Laws of Form,,,[praeclarum theorema](https://ncatlab.org/nlab/show/praeclarum%20theorema),,[praeclarum theorema](http://planetmath.org/praeclarumtheorema)
[Q6505076](https://www.wikidata.org/wiki/Q6505076),Lawvere theory,,,[Lawvere theory](https://ncatlab.org/nlab/show/Lawvere%20theory),[Lawvere theory](https://mathgloss.github.io/MathGloss/context/Lawvere_theory),
[Q827230](https://www.wikidata.org/wiki/Q827230),Lebesgue measure,[Lebesgue measure](https://mathgloss.github.io/MathGloss/chicago/lebesgue_measure),[Lebesgue measure](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/Measure/MeasureSpaceDef.html#MeasureTheory.MeasureSpace),[Lebesgue measure](https://ncatlab.org/nlab/show/Lebesgue%20measure),,[Lebesgue measure](http://planetmath.org/lebesguemeasure)
[Q1049869](https://www.wikidata.org/wiki/Q1049869),Lebesgue's number lemma,,,[Lebesgue number lemma](https://ncatlab.org/nlab/show/Lebesgue%20number%20lemma),,[Lebesgue number lemma](http://planetmath.org/lebesguenumberlemma)
[Q853831](https://www.wikidata.org/wiki/Q853831),Lebesgue-integrable,,,[Lebesgue integration](https://ncatlab.org/nlab/show/Lebesgue%20integration),,[Lebesgue integral](http://planetmath.org/lebesgueintegral)
[Q2510203](https://www.wikidata.org/wiki/Q2510203),Leech lattice,,,[Leech lattice](https://ncatlab.org/nlab/show/Leech%20lattice),,[Leech lattice](http://planetmath.org/leechlattice)
[Q215405](https://www.wikidata.org/wiki/Q215405),Legendre polynomials,,,[Legendre polynomial](https://ncatlab.org/nlab/show/Legendre%20polynomial),,[Legendre polynomial](http://planetmath.org/legendrepolynomial)
[Q1761084](https://www.wikidata.org/wiki/Q1761084),Length of a module,[finite length R-module](https://mathgloss.github.io/MathGloss/chicago/finite_length_r-module),,,,[length of a module](http://planetmath.org/lengthofamodule)
[Q126955](https://www.wikidata.org/wiki/Q126955),Level set,,,[level set](https://ncatlab.org/nlab/show/level%20set),,[level sets of smooth functions on manifolds](http://planetmath.org/levelsetsofsmoothfunctionsonmanifolds)
[Q548675](https://www.wikidata.org/wiki/Q548675),Levi-Civita connection,,,[Levi-Civita connection](https://ncatlab.org/nlab/show/Levi-Civita%20connection),,[Levi-Civita connection](http://planetmath.org/levicivitaconnection)
[Q623761](https://www.wikidata.org/wiki/Q623761),Levi-Civita symbol,,,[Levi-Civita tensor](https://ncatlab.org/nlab/show/Levi-Civita%20tensor),,[Levi-Civita permutation symbol](http://planetmath.org/levicivitapermutationsymbol)
[Q1144915](https://www.wikidata.org/wiki/Q1144915),Lexicographic order,,,[lexicographic order](https://ncatlab.org/nlab/show/lexicographic%20order),,[lexicographic order](http://planetmath.org/lexicographicorder)
[Q664495](https://www.wikidata.org/wiki/Q664495),Lie Algebra,[Lie algebra](https://mathgloss.github.io/MathGloss/chicago/lie_algebra),,[Lie algebra](https://ncatlab.org/nlab/show/Lie%20algebra),,[Lie bracket](http://planetmath.org/liebracket)
[Q6543809](https://www.wikidata.org/wiki/Q6543809),Lie algebra cohomology,,,[Lie algebra homology](https://ncatlab.org/nlab/show/Lie%20algebra%20homology),,[cohomology of semi-simple Lie algebras](http://planetmath.org/cohomologyofsemisimpleliealgebras)
[Q579267](https://www.wikidata.org/wiki/Q579267),Lie derivative,,,[Lie differentiation](https://ncatlab.org/nlab/show/Lie%20differentiation),,[Lie derivative](http://planetmath.org/liederivative)
[Q6543824](https://www.wikidata.org/wiki/Q6543824),Lie groupoid,,,[Lie groupoid](https://ncatlab.org/nlab/show/Lie%20groupoid),,[Lie groupoid](http://planetmath.org/liegroupoid)
[Q1133024](https://www.wikidata.org/wiki/Q1133024),Lie superalgebra,,,[super Lie algebra](https://ncatlab.org/nlab/show/super%20Lie%20algebra),,[Lie superalgebra](http://planetmath.org/liesuperalgebra)
[Q622679](https://www.wikidata.org/wiki/Q622679),LieGroup,[matrix Lie group](https://mathgloss.github.io/MathGloss/chicago/matrix_lie_group),,[matrix Lie group](https://ncatlab.org/nlab/show/matrix%20Lie%20group),,[Lie group](http://planetmath.org/liegroup)
[Q1322614](https://www.wikidata.org/wiki/Q1322614),Limit (category theory),[limit of a D-shaped diagram](https://mathgloss.github.io/MathGloss/chicago/limit_of_a_d-shaped_diagram),,[continuous functor](https://ncatlab.org/nlab/show/continuous%20functor),[cocontinuous](https://mathgloss.github.io/MathGloss/context/cocontinuous),
[Q1771501](https://www.wikidata.org/wiki/Q1771501),Limit cardinal,,,,[strong limit](https://mathgloss.github.io/MathGloss/context/strong_limit),[limit cardinal](http://planetmath.org/limitcardinal)
[Q33540](https://www.wikidata.org/wiki/Q33540),Limit of a function,,,[limit of a function](https://ncatlab.org/nlab/show/limit%20of%20a%20function),,[limit rules of functions](http://planetmath.org/limitrulesoffunctions)
[Q847204](https://www.wikidata.org/wiki/Q847204),Limit of a sequence,,[limits of sequences](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/MetricSpace/Pseudo/Defs.html#Metric.tendsto_atTop),[null sequence](https://ncatlab.org/nlab/show/null%20sequence),,[convergent sequence](http://planetmath.org/convergentsequence)
[Q858223](https://www.wikidata.org/wiki/Q858223),Limit point,[limit point](https://mathgloss.github.io/MathGloss/chicago/limit_point),[cluster points](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/Defs/Filter.html#ClusterPt),[limit point](https://ncatlab.org/nlab/show/limit%20point),,[limit point](http://planetmath.org/limitpoint)
[Q6549451](https://www.wikidata.org/wiki/Q6549451),Limit point compact,,,[limit point compact space](https://ncatlab.org/nlab/show/limit%20point%20compact%20space),,[weakly countably compact](http://planetmath.org/weaklycountablycompact)
[Q1076611](https://www.wikidata.org/wiki/Q1076611),Limit superior and limit inferior,,,[inferior limit](https://ncatlab.org/nlab/show/inferior%20limit),[lim sup](https://mathgloss.github.io/MathGloss/context/lim_sup),[limit superior of sets](http://planetmath.org/limitsuperiorofsets)
[Q841805](https://www.wikidata.org/wiki/Q841805),Lindenbaum–Tarski algebra,,,[Lindenbaum-Tarski algebra](https://ncatlab.org/nlab/show/Lindenbaum-Tarski%20algebra),,[Lindenbaum-Tarski algebra](http://planetmath.org/lindenbaumtarskialgebra)
[Q1509762](https://www.wikidata.org/wiki/Q1509762),Line bundle,,,[line bundle](https://ncatlab.org/nlab/show/line%20bundle),,[line bundle](http://planetmath.org/linebundle)
[Q189569](https://www.wikidata.org/wiki/Q189569),Linear Algebra/Basis for a Vector Space,[Hamel basis](https://mathgloss.github.io/MathGloss/chicago/hamel_basis),,[basis of a vector space](https://ncatlab.org/nlab/show/basis%20of%20a%20vector%20space),,[basis](http://planetmath.org/basis)
[Q929302](https://www.wikidata.org/wiki/Q929302),Linear algebra/Dimension of a vector space,[dimension of vector space](https://mathgloss.github.io/MathGloss/chicago/dimension_of_vector_space),[finite-dimensionality](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/FiniteDimensional/Defs.html#FiniteDimensional),[finite-dimensional vector space](https://ncatlab.org/nlab/show/finite-dimensional%20vector%20space),,[dimension (vector space)](http://planetmath.org/dimensionvectorspace)
[Q209812](https://www.wikidata.org/wiki/Q209812),Linear Algebra/Generating a Vector Space,[span](https://mathgloss.github.io/MathGloss/chicago/span),,[span](https://ncatlab.org/nlab/show/span),,[span](http://planetmath.org/span)
[Q190056](https://www.wikidata.org/wiki/Q190056),Linear Algebra/Hilbert Spaces,[Hilbert space](https://mathgloss.github.io/MathGloss/chicago/hilbert_space),,[separable Hilbert space](https://ncatlab.org/nlab/show/separable%20Hilbert%20space),,[Hilbert space](http://planetmath.org/hilbertspace)
[Q27628](https://www.wikidata.org/wiki/Q27628),Linear Algebra/Linear Combination,,,[linear combination](https://ncatlab.org/nlab/show/linear%20combination),,[linear combination](http://planetmath.org/linearcombination)
[Q27670](https://www.wikidata.org/wiki/Q27670),Linear Algebra/Linearly Independent Vectors,[linearly independent](https://mathgloss.github.io/MathGloss/chicago/linearly_independent),[linear independence](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/LinearIndependent.html#LinearIndependent),,,[linearly independent](http://planetmath.org/linearlyindependent)
[Q728435](https://www.wikidata.org/wiki/Q728435),Linear Algebra/Subspace,[vector subspace](https://mathgloss.github.io/MathGloss/chicago/vector_subspace),[vector subspace](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Module/Submodule/Basic.html#Subspace),[subspace](https://ncatlab.org/nlab/show/subspace),,[vector subspace](http://planetmath.org/vectorsubspace)
[Q6553407](https://www.wikidata.org/wiki/Q6553407),Linear algebraic group,,,[linear algebraic group](https://ncatlab.org/nlab/show/linear%20algebraic%20group),,[affine algebraic group](http://planetmath.org/affinealgebraicgroup)
[Q1752667](https://www.wikidata.org/wiki/Q1752667),Linear code,,,[linear code](https://ncatlab.org/nlab/show/linear%20code),,[linear code](http://planetmath.org/linearcode)
[Q1129902](https://www.wikidata.org/wiki/Q1129902),Linear differential equation,,,[linear differential equation](https://ncatlab.org/nlab/show/linear%20differential%20equation),,[linear ordinary differential equation](http://planetmath.org/linearordinarydifferentialequation)
[Q484637](https://www.wikidata.org/wiki/Q484637),Linear equation,,,[linear equation](https://ncatlab.org/nlab/show/linear%20equation),,[linear equation](http://planetmath.org/linearequation)
[Q909669](https://www.wikidata.org/wiki/Q909669),Linear equivalence,,,[Weil divisor](https://ncatlab.org/nlab/show/Weil%20divisor),,[divisor](http://planetmath.org/divisor)
[Q261527](https://www.wikidata.org/wiki/Q261527),Linear form,,,[linear functional](https://ncatlab.org/nlab/show/linear%20functional),[linear functional](https://mathgloss.github.io/MathGloss/context/linear_functional),[linear functional](http://planetmath.org/linearfunctional)
[Q16977077](https://www.wikidata.org/wiki/Q16977077),Linear Lie algebra,[linear Lie algebra](https://mathgloss.github.io/MathGloss/chicago/linear_lie_algebra),,,,
[Q207643](https://www.wikidata.org/wiki/Q207643),Linear map,[linear transformation](https://mathgloss.github.io/MathGloss/chicago/linear_transformation),[linear map](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Module/LinearMap/Defs.html#LinearMap),[linear map](https://ncatlab.org/nlab/show/linear%20map),,[linear transformation](http://planetmath.org/lineartransformation)
[Q82571](https://www.wikidata.org/wiki/Q82571),LinearAlgebra,,,[linear algebra](https://ncatlab.org/nlab/show/linear%20algebra),,[linear algebra](http://planetmath.org/linearalgebra)
[Q652707](https://www.wikidata.org/wiki/Q652707),Lipschitz continuity,,[Lipschitz functions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/EMetricSpace/Lipschitz.html#LipschitzWith),[Lipschitz map](https://ncatlab.org/nlab/show/Lipschitz%20map),,[Lipschitz function](http://planetmath.org/lipschitzfunction)
[Q27948](https://www.wikidata.org/wiki/Q27948),List (abstract data type),,,[list monad](https://ncatlab.org/nlab/show/list%20monad),[list monad](https://mathgloss.github.io/MathGloss/context/list_monad),
[Q5165409](https://www.wikidata.org/wiki/Q5165409),List of continuity-related mathematical topics,,[continuity](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Analytic/Basic.html#HasFPowerSeriesOnBall.continuousOn),,[continuity](https://mathgloss.github.io/MathGloss/context/continuity),[continuous](http://planetmath.org/continuous)
[Q394747](https://www.wikidata.org/wiki/Q394747),List of things named after Gottfried Leibniz,,[Leibniz formula](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Calculus/Deriv/Mul.html#deriv_mul),,,
[Q3275652](https://www.wikidata.org/wiki/Q3275652),Local base,,,[neighborhood base](https://ncatlab.org/nlab/show/neighborhood%20base),,[neighborhood system](http://planetmath.org/neighborhoodsystem)
[Q1868517](https://www.wikidata.org/wiki/Q1868517),Local field,,,[local field](https://ncatlab.org/nlab/show/local%20field),,[local field](http://planetmath.org/localfield)
[Q1052761](https://www.wikidata.org/wiki/Q1052761),Local homeomorphism,,,[local homeomorphism](https://ncatlab.org/nlab/show/local%20homeomorphism),,[locally homeomorphic](http://planetmath.org/locallyhomeomorphic)
[Q1142704](https://www.wikidata.org/wiki/Q1142704),Local ring,,,[local ring](https://ncatlab.org/nlab/show/local%20ring),,[local ring](http://planetmath.org/localring)
[Q251307](https://www.wikidata.org/wiki/Q251307),Localization,,,[localization](https://ncatlab.org/nlab/show/localization),,[localization](http://planetmath.org/localization)
[Q289093](https://www.wikidata.org/wiki/Q289093),Localization of a ring and a module,,,[localization of a ring](https://ncatlab.org/nlab/show/localization%20of%20a%20ring),,[localization of a module](http://planetmath.org/localizationofamodule)
[Q583034](https://www.wikidata.org/wiki/Q583034),Locally compact space,,,[locally compact topological space](https://ncatlab.org/nlab/show/locally%20compact%20topological%20space),,[locally compact](http://planetmath.org/locallycompact)
[Q2147620](https://www.wikidata.org/wiki/Q2147620),Locally compact topological group,[locally compact group](https://mathgloss.github.io/MathGloss/chicago/locally_compact_group),,[locally compact topological group](https://ncatlab.org/nlab/show/locally%20compact%20topological%20group),,
[Q1572357](https://www.wikidata.org/wiki/Q1572357),Locally convex,,,[locally convex topological vector space](https://ncatlab.org/nlab/show/locally%20convex%20topological%20vector%20space),,[locally convex topological vector space](http://planetmath.org/locallyconvextopologicalvectorspace)
[Q2136937](https://www.wikidata.org/wiki/Q2136937),Locally finite measure,[locally finite measure](https://mathgloss.github.io/MathGloss/chicago/locally_finite_measure),,,,
