Title,Link,Normalized,Candidates
"(infinity,1)-category theory",https://ncatlab.org/nlab/show/%28infinity%2C1%29-category+theory,infinity1categorytheory,
"(infinity,1)-coequalizer",https://ncatlab.org/nlab/show/%28infinity%2C1%29-coequalizer,infinity1coequalizer,
"(infinity,1)-coproduct",https://ncatlab.org/nlab/show/%28infinity%2C1%29-coproduct,infinity1coproduct,
"(infinity,1)-equalizer",https://ncatlab.org/nlab/show/%28infinity%2C1%29-equalizer,infinity1equalizer,
"(infinity,1)-functor",https://ncatlab.org/nlab/show/%28infinity%2C1%29-functor,infinity1functor,
"(infinity,1)-geometric morphism",https://ncatlab.org/nlab/show/%28infinity%2C1%29-geometric+morphism,infinity1geometricmorphism,
"(infinity,1)-Grothendieck construction",https://ncatlab.org/nlab/show/%28infinity%2C1%29-Grothendieck+construction,infinity1grothendieckconstruction,
"(infinity,1)-Kan extension",https://ncatlab.org/nlab/show/%28infinity%2C1%29-Kan+extension,infinity1kanextension,
"(infinity,1)-module",https://ncatlab.org/nlab/show/%28infinity%2C1%29-module,infinity1module,
"(infinity,1)-module bundle",https://ncatlab.org/nlab/show/%28infinity%2C1%29-module+bundle,infinity1modulebundle,
"(infinity,1)-monad",https://ncatlab.org/nlab/show/%28infinity%2C1%29-monad,infinity1monad,
"(infinity,1)-operad",https://ncatlab.org/nlab/show/%28infinity%2C1%29-operad,infinity1operad,
"(infinity,1)-presheaf",https://ncatlab.org/nlab/show/%28infinity%2C1%29-presheaf,infinity1presheaf,
"(infinity,1)-pretopos",https://ncatlab.org/nlab/show/%28infinity%2C1%29-pretopos,infinity1pretopos,
"(infinity,1)-product",https://ncatlab.org/nlab/show/%28infinity%2C1%29-product,infinity1product,
"(infinity,1)-profunctor",https://ncatlab.org/nlab/show/%28infinity%2C1%29-profunctor,infinity1profunctor,
"(infinity,1)-pullback",https://ncatlab.org/nlab/show/%28infinity%2C1%29-pullback,infinity1pullback,
"(infinity,1)-pushout",https://ncatlab.org/nlab/show/%28infinity%2C1%29-pushout,infinity1pushout,
"(infinity,1)-quantity",https://ncatlab.org/nlab/show/%28infinity%2C1%29-quantity,infinity1quantity,
"(infinity,1)-quasitopos",https://ncatlab.org/nlab/show/%28infinity%2C1%29-quasitopos,infinity1quasitopos,
"(infinity,1)-semitopos",https://ncatlab.org/nlab/show/%28infinity%2C1%29-semitopos,infinity1semitopos,
"(infinity,1)-sheaf",https://ncatlab.org/nlab/show/%28infinity%2C1%29-sheaf,infinity1sheaf,
"(infinity,1)-sheafification",https://ncatlab.org/nlab/show/%28infinity%2C1%29-sheafification,infinity1sheafification,
"(infinity,1)-site",https://ncatlab.org/nlab/show/%28infinity%2C1%29-site,infinity1site,
"(infinity,1)-topos",https://ncatlab.org/nlab/show/%28infinity%2C1%29-topos,infinity1topos,
"(infinity,1)-topos - contents",https://ncatlab.org/nlab/show/%28infinity%2C1%29-topos+-+contents,infinity1toposcontents,
"(infinity,1)-topos theory",https://ncatlab.org/nlab/show/%28infinity%2C1%29-topos+theory,infinity1topostheory,
"(infinity,1)-Yoneda extension",https://ncatlab.org/nlab/show/%28infinity%2C1%29-Yoneda+extension,infinity1yonedaextension,
"(infinity,1)Cat",https://ncatlab.org/nlab/show/%28infinity%2C1%29Cat,infinity1cat,
"(infinity,1)Prof",https://ncatlab.org/nlab/show/%28infinity%2C1%29Prof,infinity1prof,
"(infinity,1)Topos",https://ncatlab.org/nlab/show/%28infinity%2C1%29Topos,infinity1topos,
"(infinity,2)-Categories and the Goodwillie Calculus",https://ncatlab.org/nlab/show/%28infinity%2C2%29-Categories+and+the+Goodwillie+Calculus,infinity2categoriesandthegoodwilliecalculus,
"(infinity,2)-category",https://ncatlab.org/nlab/show/%28infinity%2C2%29-category,infinity2category,
"(infinity,2)-sheaf",https://ncatlab.org/nlab/show/%28infinity%2C2%29-sheaf,infinity2sheaf,
"(infinity,2)-topos",https://ncatlab.org/nlab/show/%28infinity%2C2%29-topos,infinity2topos,
"(infinity,2)-topos theory - contents",https://ncatlab.org/nlab/show/%28infinity%2C2%29-topos+theory+-+contents,infinity2topostheorycontents,
"(infinity,n)-category",https://ncatlab.org/nlab/show/%28infinity%2Cn%29-category,infinityncategory,
