Wikidata ID,Title,Link,Label,Layer,Score,Reason,Alternates
Q1142704,local ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/LocalRing/Defs.html#IsLocalRing,local ring,layer4.csv,1.000,exact_letters,Q60821171 (0.867; token_jaccard=0.67) complete local ring [layer4.csv]; Q7134519 (0.867; token_jaccard=0.67) parafactorial local ring [layer5.csv]; Q2138875 (0.867; token_jaccard=0.67) regular local ring [layer3.csv]; Q7449309 (0.867; token_jaccard=0.67) semi-local ring [layer5.csv]
Q582271,Noetherian ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Noetherian/Defs.html#IsNoetherianRing,noetherian ring,layer2.csv,1.000,exact_letters,Q126898826 (0.867; token_jaccard=0.67) Noetherian commutative ring [layer5.csv]
Q3782642,ordered ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Order/Ring/Defs.html#OrderedRing,ordered ring,layer3.csv,1.000,exact_letters,Q7140405 (0.867; token_jaccard=0.67) partially ordered ring [layer4.csv]
Q619436,quotient ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Ideal/Quotient/Defs.html#Ideal.Quotient.ring,quotient ring,layer3.csv,1.000,exact_letters,Q5695923 (0.867; token_jaccard=0.67) total quotient ring [layer4.csv]
Q11710992,prime ideal,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Ideal/Prime.html#Ideal.IsPrime,prime ideal,layer5.csv,1.000,exact_letters,Q863912 (1.000; exact_letters) prime ideal [layer5.csv]
Q1203540,maximal ideal,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Ideal/Maximal.html#Ideal.IsMaximal,maximal ideal,layer3.csv,1.000,exact_letters,
Q193878,Chinese remainder theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Ideal/Quotient/Operations.html#Ideal.quotientInfRingEquivPiQuotient,Chinese remainder theorem,layer3.csv,1.000,exact_letters,
Q1497184,fractional ideal,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/FractionalIdeal/Basic.html#FractionalIdeal,fractional ideal,layer4.csv,1.000,exact_letters,
Q2989575,irreducible element,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Irreducible/Defs.html#Irreducible,irreducible element,layer3.csv,1.000,exact_letters,
Q131752,greatest common divisor,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/GCDMonoid/Basic.html#GCDMonoid.gcd,greatest common divisor,layer2.csv,1.000,exact_letters,Q7226640 (0.900; token_jaccard=0.75) polynomial greatest common divisor [layer4.csv]; Q10892988 (0.867; token_jaccard=0.67) common divisor [layer5.csv]
Q102761,least common multiple,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/GCDMonoid/Basic.html#GCDMonoid.lcm,least common multiple,layer2.csv,1.000,exact_letters,Q10855396 (0.867; token_jaccard=0.67) common multiple [layer3.csv]
Q1143969,principal ideal domain,https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/Span/Defs.html#Submodule.IsPrincipal,principal ideal domain,layer3.csv,1.000,exact_letters,Q24769475 (0.867; token_jaccard=0.67) IDEAL domain [layer5.csv]; Q44382 (0.867; token_jaccard=0.67) principal ideal [layer5.csv]
Q867345,Euclidean domain,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,Euclidean domain,layer4.csv,1.000,exact_letters,
Q190026,Euler's totient function ($\varphi$),https://leanprover-community.github.io/mathlib4_docs/Mathlib/Data/Nat/Totient.html#Nat.totient,Euler's totient function,layer2.csv,0.920,token_jaccard=0.80,
Q125582573,multiplicity,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Polynomial/Div.html#Polynomial.rootMultiplicity,Multiplicity,layer5.csv,1.000,exact_letters,Q2228257 (1.000; exact_letters) multiplicity [layer5.csv]; Q774732 (1.000; exact_letters) Multiplicity [layer5.csv]; Q902301 (1.000; exact_letters) multiplicity [layer5.csv]
Q2530089,separable polynomial,https://leanprover-community.github.io/mathlib4_docs/Mathlib/FieldTheory/Separable.html#Polynomial.Separable,separable polynomial,layer4.csv,1.000,exact_letters,
Q1476663,irreducible polynomial,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Irreducible/Defs.html#Irreducible,irreducible polynomial,layer4.csv,1.000,exact_letters,
Q1057416,Eisenstein's criterion,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Polynomial/Eisenstein/Criterion.html#Polynomial.irreducible_of_eisenstein_criterion,Eisenstein's criterion,layer3.csv,1.000,exact_letters,
Q206925,power series,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/PowerSeries/Basic.html#PowerSeries,power series,layer3.csv,1.000,exact_letters,Q1003025 (0.867; token_jaccard=0.67) formal power series [layer5.csv]; Q3045470 (0.867; token_jaccard=0.67) power series expansion [layer2.csv]
Q2030545,associative algebra over a commutative ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Algebra/Defs.html#Algebra,algebra over a ring,layer4.csv,0.867,token_jaccard=0.67,
