Title,Link,Normalized,Candidates
connectedness,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Connected/Basic.html#ConnectedSpace,connectedness,
Cauchy filter,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/UniformSpace/Cauchy.html#Cauchy,cauchyfilter,
completion of an abelian topological group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Algebra/GroupCompletion.html#UniformSpace.Completion.instAddCommGroup,completionofanabeliantopologicalgroup,
infinite sum,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Algebra/InfiniteSum/Defs.html#HasSum,infinitesum,
completion of a topological ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Algebra/UniformRing.html#UniformSpace.Completion.ring,completionofatopologicalring,
Haar measure on a locally compact Hausdorff group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/MeasureTheory/Measure/Haar/Basic.html#MeasureTheory.Measure.haarMeasure,haarmeasureonalocallycompacthausdorffgroup,
sequential compactness is equivalent to compactness (Bolzano-Weierstrass),https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Sequences.html#UniformSpace.isCompact_iff_isSeqCompact,sequentialcompactnessisequivalenttocompactnessbolzanoweierstrass,
Heine-Borel theorem (proper metric space version),https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/MetricSpace/Bounded.html#Metric.isCompact_iff_isClosed_bounded,heineboreltheorempropermetricspaceversion,
Lipschitz continuity,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/EMetricSpace/Lipschitz.html#LipschitzWith,lipschitzcontinuity,
Hölder continuity,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/MetricSpace/Holder.html#HolderWith,holdercontinuity,
local convexity,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Algebra/Module/LocallyConvex.html#LocallyConvexSpace,localconvexity,
Bornology,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Bornology/Basic.html#Bornology,bornology,
weak-* topology for dualities,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Algebra/Module/WeakBilin.html#WeakBilin.instTopologicalSpace,weaktopologyfordualities,
normed vector space over a normed field,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Normed/Module/Basic.html#NormedSpace,normedvectorspaceoveranormedfield,
topology on a normed vector space,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Normed/MulAction.html#NormSMulClass.toIsBoundedSMul,topologyonanormedvectorspace,
equivalence of norms in finite dimension,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Algebra/Module/FiniteDimension.html#LinearEquiv.toContinuousLinearEquiv,equivalenceofnormsinfinitedimension,
finite dimensional normed spaces over complete normed fields are complete,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Algebra/Module/FiniteDimension.html#Submodule.complete_of_finiteDimensional,finitedimensionalnormedspacesovercompletenormedfieldsarecomplete,
Heine-Borel theorem (finite dimensional normed spaces are proper),https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Normed/Module/FiniteDimension.html#FiniteDimensional.proper,heineboreltheoremfinitedimensionalnormedspacesareproper,
norm of a continuous linear map,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Normed/Operator/ContinuousLinearMap.html#LinearMap.mkContinuous,normofacontinuouslinearmap,
Banach open mapping theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Normed/Operator/Banach.html#ContinuousLinearMap.isOpenMap,banachopenmappingtheorem,Q944297 (0.900; token_jaccard=0.75) open mapping theorem [layer5.csv]; Q967972 (0.900; token_jaccard=0.75) open mapping theorem [layer3.csv]
absolutely convergent series in Banach spaces,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Normed/Group/InfiniteSum.html#Summable.of_norm,absolutelyconvergentseriesinbanachspaces,
dual of a normed space,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Algebra/Module/LinearMap.html#StrongDual,dualofanormedspace,
isometric inclusion in double dual,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Normed/Module/Dual.html#NormedSpace.inclusionInDoubleDualLi,isometricinclusionindoubledual,
completeness of spaces of bounded continuous functions,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/ContinuousMap/Bounded/Basic.html#BoundedContinuousFunction.instCompleteSpace,completenessofspacesofboundedcontinuousfunctions,
"Inner product space, over $R$ or $C$",https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/InnerProductSpace/Defs.html#InnerProductSpace,innerproductspaceoverrorc,
adjoint operator,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/InnerProductSpace/LinearPMap.html#LinearPMap.adjoint,adjointoperator,
self-adjoint operator,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Star/SelfAdjoint.html#IsSelfAdjoint,selfadjointoperator,
existence of Hilbert basis,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/InnerProductSpace/l2Space.html#exists_hilbertBasis,existenceofhilbertbasis,
eigenvalues from Rayleigh quotient,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/InnerProductSpace/Rayleigh.html#IsSelfAdjoint.hasEigenvector_of_isLocalExtrOn,eigenvaluesfromrayleighquotient,
Fréchet-Riesz representation of the dual of a Hilbert space,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/InnerProductSpace/Dual.html#InnerProductSpace.toDual,frechetrieszrepresentationofthedualofahilbertspace,
Lax-Milgram theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/InnerProductSpace/LaxMilgram.html#IsCoercive.continuousLinearEquivOfBilin,laxmilgramtheorem,Q4838119 (0.900; token_jaccard=0.75) Babuška–Lax–Milgram theorem [layer3.csv]; Q1103054 (0.900; token_jaccard=0.75) Lions–Lax–Milgram theorem [layer5.csv]
differentiable function between normed vector spaces,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Calculus/FDeriv/Defs.html#HasFDerivAt,differentiablefunctionbetweennormedvectorspaces,
derivative of a composition of functions,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Calculus/FDeriv/Comp.html#HasFDerivAt.comp,derivativeofacompositionoffunctions,
derivative of the inverse of a function,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Calculus/FDeriv/Equiv.html#HasFDerivAt.of_local_left_inverse,derivativeoftheinverseofafunction,
$C^k$ function,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Calculus/ContDiff/Defs.html#ContDiff,ckfunction,Q11192820 (0.867; token_jaccard=0.67) C&K [layer5.csv]; Q1541649 (0.867; token_jaccard=0.67) K-function [layer2.csv]
local extrema,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Calculus/LocalExtr/Basic.html#IsLocalMin.fderiv_eq_zero,localextrema,
characterization of convexity,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Convex/Deriv.html#convexOn_of_deriv2_nonneg,characterizationofconvexity,
Jensen's inequality (finite sum version),https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Convex/Jensen.html#ConvexOn.map_sum_le,jensensinequalityfinitesumversion,
Jensen's inequality (integral version),https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Convex/Integral.html#ConvexOn.map_integral_le,jensensinequalityintegralversion,Q518131 (0.840; token_jaccard=0.60) Jensen's inequality [layer2.csv]
convexity inequalities,https://leanprover-community.github.io/mathlib4_docs/analysis/mean_inequalities.html,convexityinequalities,
exponential,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Complex/Exponential.html#Real.exp,exponential,
inverse trigonometric functions,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/SpecialFunctions/Trigonometric/Inverse.html#Real.arcsin,inversetrigonometricfunctions,
hyperbolic trigonometric functions,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Complex/Trigonometric.html#Real.sinh,hyperbolictrigonometricfunctions,
inverse hyperbolic trigonometric functions,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/SpecialFunctions/Arsinh.html#Real.arsinh,inversehyperbolictrigonometricfunctions,
the category of measurable spaces,https://leanprover-community.github.io/mathlib4_docs/Mathlib/MeasureTheory/Category/MeasCat.html#MeasCat,thecategoryofmeasurablespaces,
Borel sigma-algebra,https://leanprover-community.github.io/mathlib4_docs/Mathlib/MeasureTheory/Constructions/BorelSpace/Basic.html#BorelSpace,borelsigmaalgebra,Q1080067 (0.867; token_jaccard=0.67) Borel algebra [layer5.csv]; Q217357 (0.867; token_jaccard=0.67) sigma-algebra [layer5.csv]
Stieltjes measure,https://leanprover-community.github.io/mathlib4_docs/Mathlib/MeasureTheory/Measure/Stieltjes.html#StieltjesFunction.measure,stieltjesmeasure,
integral of positive measurable functions,https://leanprover-community.github.io/mathlib4_docs/Mathlib/MeasureTheory/Integral/Lebesgue/Basic.html#MeasureTheory.lintegral,integralofpositivemeasurablefunctions,
vector-valued integrable function (Bochner integral),https://leanprover-community.github.io/mathlib4_docs/Mathlib/MeasureTheory/Function/L1Space/Integrable.html#MeasureTheory.Integrable,vectorvaluedintegrablefunctionbochnerintegral,
"fundamental theorem of calculus, part 1",https://leanprover-community.github.io/mathlib4_docs/Mathlib/MeasureTheory/Integral/IntervalIntegral/FundThmCalculus.html#intervalIntegral.integral_hasFDerivAt_of_tendsto_ae,fundamentaltheoremofcalculuspart1,Q114727911 (0.867; token_jaccard=0.67) Fundamental theorem of calculus [layer2.csv]; Q1217677 (0.867; token_jaccard=0.67) fundamental theorem of calculus [layer3.csv]
"fundamental theorem of calculus, part 2",https://leanprover-community.github.io/mathlib4_docs/Mathlib/MeasureTheory/Integral/IntervalIntegral/FundThmCalculus.html#intervalIntegral.integral_eq_sub_of_hasDeriv_right_of_le,fundamentaltheoremofcalculuspart2,Q114727911 (0.867; token_jaccard=0.67) Fundamental theorem of calculus [layer2.csv]; Q1217677 (0.867; token_jaccard=0.67) fundamental theorem of calculus [layer3.csv]
product of finitely many measures,https://leanprover-community.github.io/mathlib4_docs/Mathlib/MeasureTheory/Constructions/Pi.html#MeasureTheory.Measure.pi,productoffinitelymanymeasures,
approximation by convolution,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Calculus/BumpFunction/Convolution.html#ContDiffBump.convolution_tendsto_right,approximationbyconvolution,
regularization by convolution,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Convolution.html#HasCompactSupport.contDiff_convolution_left,regularizationbyconvolution,
change of variables formula,https://leanprover-community.github.io/mathlib4_docs/Mathlib/MeasureTheory/Function/Jacobian.html#MeasureTheory.integral_image_eq_integral_abs_det_fderiv_smul,changeofvariablesformula,
Liouville theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Complex/Liouville.html#Differentiable.apply_eq_apply_of_bounded,liouvilletheorem,Q2404702 (0.867; token_jaccard=0.67) Liouville's theorem [layer3.csv]; Q2894653 (0.867; token_jaccard=0.67) Liouville's theorem [layer3.csv]; Q4454976 (0.867; token_jaccard=0.67) Liouville's theorem [layer5.csv]; Q576478 (0.867; token_jaccard=0.67) Liouville's theorem [layer5.csv]; Q766722 (0.867; token_jaccard=0.67) Liouville's theorem [layer4.csv]
principle of isolated zeros,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Analytic/IsolatedZeros.html#AnalyticAt.eventually_eq_zero_or_eventually_ne_zero,principleofisolatedzeros,
principle of analytic continuation,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Analytic/IsolatedZeros.html#AnalyticOnNhd.eqOn_of_preconnected_of_frequently_eq,principleofanalyticcontinuation,
Fourier transform as an integral,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Fourier/FourierTransform.html#Real.fourierIntegral,fouriertransformasanintegral,
Parseval formula for Fourier series,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Fourier/AddCircle.html#tsum_sq_fourierCoeff,parsevalformulaforfourierseries,
