title,link
Banach open mapping theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Normed/Operator/Banach.html#ContinuousLinearMap.isOpenMap
absolutely convergent series in Banach spaces,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Normed/Group/InfiniteSum.html#Summable.of_norm
dual of a normed space,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Algebra/Module/LinearMap.html#StrongDual
isometric inclusion in double dual,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Normed/Module/Dual.html#NormedSpace.inclusionInDoubleDualLi
completeness of spaces of bounded continuous functions,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/ContinuousMap/Bounded/Basic.html#BoundedContinuousFunction.instCompleteSpace
"Inner product space, over $R$ or $C$",https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/InnerProductSpace/Defs.html#InnerProductSpace
adjoint operator,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/InnerProductSpace/LinearPMap.html#LinearPMap.adjoint
self-adjoint operator,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Star/SelfAdjoint.html#IsSelfAdjoint
existence of Hilbert basis,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/InnerProductSpace/l2Space.html#exists_hilbertBasis
eigenvalues from Rayleigh quotient,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/InnerProductSpace/Rayleigh.html#IsSelfAdjoint.hasEigenvector_of_isLocalExtrOn
Fréchet-Riesz representation of the dual of a Hilbert space,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/InnerProductSpace/Dual.html#InnerProductSpace.toDual
Lax-Milgram theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/InnerProductSpace/LaxMilgram.html#IsCoercive.continuousLinearEquivOfBilin
differentiable function between normed vector spaces,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Calculus/FDeriv/Defs.html#HasFDerivAt
derivative of a composition of functions,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Calculus/FDeriv/Comp.html#HasFDerivAt.comp
derivative of the inverse of a function,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Calculus/FDeriv/Equiv.html#HasFDerivAt.of_local_left_inverse
$C^k$ function,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Calculus/ContDiff/Defs.html#ContDiff
local extrema,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Calculus/LocalExtr/Basic.html#IsLocalMin.fderiv_eq_zero
characterization of convexity,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Convex/Deriv.html#convexOn_of_deriv2_nonneg
Jensen's inequality (finite sum version),https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Convex/Jensen.html#ConvexOn.map_sum_le
Jensen's inequality (integral version),https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Convex/Integral.html#ConvexOn.map_integral_le
convexity inequalities,https://leanprover-community.github.io/mathlib4_docs/analysis/mean_inequalities.html
exponential,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Complex/Exponential.html#Real.exp
