Wikidata ID,Title,Link,Label,Layer,Score,Reason,Alternates
Q60790315,automorphism group,https://emilyriehl.github.io/files/context.pdf#page=40,automorphism group,layer3.csv,1.000,exact_letters,Q40289167 (1.000; token_jaccard=1.00) group automorphism [layer4.csv]; Q97621539 (0.867; token_jaccard=0.67) Edge Automorphism Group [layer4.csv]; Q77980592 (0.867; token_jaccard=0.67) inner automorphism group [layer5.csv]; Q77980689 (0.867; token_jaccard=0.67) outer automorphism group [layer5.csv]
Q2297777,dual basis,https://emilyriehl.github.io/files/context.pdf#page=41,dual basis,layer4.csv,1.000,exact_letters,
Q1442189,natural transformation,https://emilyriehl.github.io/files/context.pdf#page=41,natural transformation,layer2.csv,1.000,exact_letters,Q25304046 (0.867; token_jaccard=0.67) lax natural transformation [layer1.csv]
Q110535030,natural isomorphism,https://emilyriehl.github.io/files/context.pdf#page=42,natural isomorphism,layer3.csv,1.000,exact_letters,
Q256355,equivariant map,https://emilyriehl.github.io/files/context.pdf#page=43,equivariant map,layer2.csv,1.000,exact_letters,
Q1751823,no cloning theorem,https://emilyriehl.github.io/files/context.pdf#page=44,no-cloning theorem,layer4.csv,1.000,exact_letters,
Q2293759,torsion subgroup,https://emilyriehl.github.io/files/context.pdf#page=44,torsion subgroup,layer4.csv,1.000,exact_letters,
Q2293759,torsion sub group,https://emilyriehl.github.io/files/context.pdf#page=44,torsion subgroup,layer4.csv,1.000,exact_letters,Q1551033 (0.867; token_jaccard=0.67) torsion group [layer3.csv]
Q1357684,Riesz representation theorem,https://emilyriehl.github.io/files/context.pdf#page=44,Riesz representation theorem,layer3.csv,1.000,exact_letters,Q7314222 (0.867; token_jaccard=0.67) Representation theorem [layer5.csv]; Q17098001 (0.840; token_jaccard=0.60) Riesz–Markov–Kakutani representation theorem [layer4.csv]
Q188211,invariant,https://emilyriehl.github.io/files/context.pdf#page=45,invariant,layer2.csv,1.000,exact_letters,Q2370229 (1.000; exact_letters) invariant [layer3.csv]; Q385374 (1.000; exact_letters) invariant [layer4.csv]
Q1442189,invertible natural transformation,https://emilyriehl.github.io/files/context.pdf#page=46,natural transformation,layer5.csv,0.867,token_jaccard=0.67,
Q1442189,extra natural transformation,https://emilyriehl.github.io/files/context.pdf#page=46,natural transformation,layer5.csv,0.867,token_jaccard=0.67,
Q1082992,equivalence of categories,https://emilyriehl.github.io/files/context.pdf#page=48,equivalence of categories,layer4.csv,1.000,exact_letters,
Q1082992,composite equivalence of categories,https://emilyriehl.github.io/files/context.pdf#page=48,equivalence of categories,layer4.csv,0.900,token_jaccard=0.75,
Q33059348,full functor,https://emilyriehl.github.io/files/context.pdf#page=48,full functor,layer3.csv,1.000,exact_letters,
Q1755355,faithful,https://emilyriehl.github.io/files/context.pdf#page=48,Faithful,layer5.csv,1.000,exact_letters,Q5431279 (1.000; exact_letters) Faithful [layer5.csv]
Q12175350,faithful functor,https://emilyriehl.github.io/files/context.pdf#page=48,faithful functor,layer3.csv,1.000,exact_letters,Q120721906 (0.867; token_jaccard=0.67) fully faithful functor [layer4.csv]
Q140283,essentially surjective functor,https://emilyriehl.github.io/files/context.pdf#page=48,essentially surjective functor,layer3.csv,1.000,exact_letters,
Q140283,essentially surjective,https://emilyriehl.github.io/files/context.pdf#page=48,essentially surjective functor,layer3.csv,0.867,token_jaccard=0.67,
Q117795251,local,https://emilyriehl.github.io/files/context.pdf#page=49,Local,layer5.csv,1.000,exact_letters,Q27052180 (1.000; exact_letters) Local [layer5.csv]
Q980509,embedding,https://emilyriehl.github.io/files/context.pdf#page=49,embedding,layer2.csv,1.000,exact_letters,
Q103927515,full subcategory,https://emilyriehl.github.io/files/context.pdf#page=49,full subcategory,layer2.csv,1.000,exact_letters,
Q3884964,orbit,https://emilyriehl.github.io/files/context.pdf#page=52,orbit,layer4.csv,1.000,exact_letters,Q4130 (1.000; exact_letters) orbit [layer4.csv]
Q800350,orbit-stabilizer theorem,https://emilyriehl.github.io/files/context.pdf#page=53,orbit–stabilizer theorem,layer3.csv,1.000,exact_letters,
Q1382400,evil,https://emilyriehl.github.io/files/context.pdf#page=53,Evil,layer5.csv,1.000,exact_letters,Q1382421 (1.000; exact_letters) Evil [layer5.csv]; Q1888074 (1.000; exact_letters) Evil [layer5.csv]
Q10567583,essentially small category,https://emilyriehl.github.io/files/context.pdf#page=53,small category,layer2.csv,0.867,token_jaccard=0.67,
Q1084766,abstract nonsense,https://emilyriehl.github.io/files/context.pdf#page=54,abstract nonsense,layer1.csv,1.000,exact_letters,
Q15805655,diagram,https://emilyriehl.github.io/files/context.pdf#page=54,diagram,layer2.csv,1.000,exact_letters,Q843237 (1.000; exact_letters) diagram [layer1.csv]
Q621542,commutative diagram,https://emilyriehl.github.io/files/context.pdf#page=54,commutative diagram,layer2.csv,1.000,exact_letters,
Q122384600,commute,https://emilyriehl.github.io/files/context.pdf#page=54,Commute,layer5.csv,1.000,exact_letters,
Q25098802,topological monoid,https://emilyriehl.github.io/files/context.pdf#page=55,topological monoid,layer2.csv,1.000,exact_letters,
Q161172,ring,https://emilyriehl.github.io/files/context.pdf#page=55,ring,layer3.csv,1.000,exact_letters,Q25415527 (1.000; exact_letters) Ring [layer5.csv]; Q531328 (1.000; exact_letters) Ring [layer5.csv]; Q60837942 (1.000; exact_letters) Ring [layer5.csv]; Q111962410 (1.000; token_jaccard=1.00) Ring Ring [layer5.csv]
Q3968,algebra,https://emilyriehl.github.io/files/context.pdf#page=55,algebra,layer2.csv,1.000,exact_letters,Q2836000 (1.000; exact_letters) *-algebra [layer3.csv]
Q10535634,initial object,https://emilyriehl.github.io/files/context.pdf#page=59,initial object,layer2.csv,1.000,exact_letters,Q25098887 (0.867; token_jaccard=0.67) strict initial object [layer5.csv]
Q91432273,terminal object,https://emilyriehl.github.io/files/context.pdf#page=59,terminal object,layer2.csv,1.000,exact_letters,
Q16089841,zero object,https://emilyriehl.github.io/files/context.pdf#page=61,zero object,layer1.csv,1.000,exact_letters,Q91432807 (1.000; exact_letters) zero object [layer2.csv]
Q6034125,initial algebra,https://emilyriehl.github.io/files/context.pdf#page=62,initial algebra,layer3.csv,1.000,exact_letters,Q19286128 (1.000; token_jaccard=1.00) initial σ-algebra [layer4.csv]
Q2007878,functor category,https://emilyriehl.github.io/files/context.pdf#page=62,functor category,layer3.csv,1.000,exact_letters,
Q1442189,natural transformation composition,https://emilyriehl.github.io/files/context.pdf#page=62,natural transformation,layer5.csv,0.867,token_jaccard=0.67,
Q4596935,2 category,https://emilyriehl.github.io/files/context.pdf#page=64,strict 2-category,layer3.csv,0.867,token_jaccard=0.67,
Q4596935,2-category,https://emilyriehl.github.io/files/context.pdf#page=64,strict 2-category,layer3.csv,0.867,token_jaccard=0.67,
Q25304059,2-functor,https://emilyriehl.github.io/files/context.pdf#page=65,2-functor,layer4.csv,1.000,exact_letters,
Q45715,complete graph,https://emilyriehl.github.io/files/context.pdf#page=67,complete graph,layer2.csv,1.000,exact_letters,Q913598 (0.867; token_jaccard=0.67) complete bipartite graph [layer5.csv]; Q131179462 (0.867; token_jaccard=0.67) complete graph K10 [layer5.csv]; Q131179481 (0.867; token_jaccard=0.67) complete graph K11 [layer5.csv]; Q126735112 (0.867; token_jaccard=0.67) complete graph K2 [layer5.csv]
Q184410,four color theorem,https://emilyriehl.github.io/files/context.pdf#page=67,four color theorem,layer3.csv,1.000,exact_letters,
Q638328,discrete dynamical system,https://emilyriehl.github.io/files/context.pdf#page=68,dynamical system,layer3.csv,0.867,token_jaccard=0.67,
Q179976,recursion,https://emilyriehl.github.io/files/context.pdf#page=68,recursion,layer5.csv,1.000,exact_letters,
Q386320,representable functor,https://emilyriehl.github.io/files/context.pdf#page=69,representable functor,layer3.csv,1.000,exact_letters,
Q112898115,representation,https://emilyriehl.github.io/files/context.pdf#page=69,representation,layer4.csv,1.000,exact_letters,Q2905654 (1.000; exact_letters) representation [layer1.csv]
Q1454111,free abelian group,https://emilyriehl.github.io/files/context.pdf#page=70,free abelian group,layer2.csv,1.000,exact_letters,Q7827198 (0.900; token_jaccard=0.75) torsion-free abelian group [layer4.csv]; Q181296 (0.867; token_jaccard=0.67) abelian group [layer1.csv]; Q431078 (0.867; token_jaccard=0.67) free group [layer5.csv]
Q127162195,path,https://emilyriehl.github.io/files/context.pdf#page=71,path,layer4.csv,1.000,exact_letters,Q133540897 (1.000; exact_letters) Path [layer5.csv]; Q1366002 (1.000; exact_letters) path [layer3.csv]; Q1415372 (1.000; exact_letters) path [layer5.csv]; Q21408175 (1.000; exact_letters) Path [layer5.csv]
