title,link
cocone,https://emilyriehl.github.io/files/context.pdf#page=92
limit cone,https://emilyriehl.github.io/files/context.pdf#page=93
colimit cone,https://emilyriehl.github.io/files/context.pdf#page=93
uniqueness of limit,https://emilyriehl.github.io/files/context.pdf#page=94
uniqueness of colimit,https://emilyriehl.github.io/files/context.pdf#page=94
limit diagram,https://emilyriehl.github.io/files/context.pdf#page=94
colimit diagram,https://emilyriehl.github.io/files/context.pdf#page=94
cone over a category,https://emilyriehl.github.io/files/context.pdf#page=95
cone under a category,https://emilyriehl.github.io/files/context.pdf#page=95
projection from a product,https://emilyriehl.github.io/files/context.pdf#page=95
product projection,https://emilyriehl.github.io/files/context.pdf#page=95
box topology vs product topology,https://emilyriehl.github.io/files/context.pdf#page=95
coarsest,https://emilyriehl.github.io/files/context.pdf#page=95
finest,https://emilyriehl.github.io/files/context.pdf#page=95
terminal category,https://emilyriehl.github.io/files/context.pdf#page=96
equalizer,https://emilyriehl.github.io/files/context.pdf#page=96
parallel pair,https://emilyriehl.github.io/files/context.pdf#page=96
equalizer diagram,https://emilyriehl.github.io/files/context.pdf#page=96
fiber product,https://emilyriehl.github.io/files/context.pdf#page=97
coequalizer diagram,https://emilyriehl.github.io/files/context.pdf#page=99
sequential colimit,https://emilyriehl.github.io/files/context.pdf#page=99
universal property of limit,https://emilyriehl.github.io/files/context.pdf#page=100
universal property of colimit,https://emilyriehl.github.io/files/context.pdf#page=100
universal property of product,https://emilyriehl.github.io/files/context.pdf#page=100
universal property of coproduct,https://emilyriehl.github.io/files/context.pdf#page=100
small diagram,https://emilyriehl.github.io/files/context.pdf#page=103
limit in the category of sets,https://emilyriehl.github.io/files/context.pdf#page=103
idempotent,https://emilyriehl.github.io/files/context.pdf#page=106
split idempotent,https://emilyriehl.github.io/files/context.pdf#page=106
category hom-set as limit,https://emilyriehl.github.io/files/context.pdf#page=107
preserve,https://emilyriehl.github.io/files/context.pdf#page=108
reflect,https://emilyriehl.github.io/files/context.pdf#page=108
sheaf condition,https://emilyriehl.github.io/files/context.pdf#page=109
strictly create,https://emilyriehl.github.io/files/context.pdf#page=109
connected diagram,https://emilyriehl.github.io/files/context.pdf#page=109
connected colimit,https://emilyriehl.github.io/files/context.pdf#page=109
connected limit,https://emilyriehl.github.io/files/context.pdf#page=109
limit in a functor category,https://emilyriehl.github.io/files/context.pdf#page=111
colimit in a functor category,https://emilyriehl.github.io/files/context.pdf#page=111
representable universal property of limit,https://emilyriehl.github.io/files/context.pdf#page=112
cotensor,https://emilyriehl.github.io/files/context.pdf#page=112
representable functor preserves limits,https://emilyriehl.github.io/files/context.pdf#page=112
colimit representable universal property,https://emilyriehl.github.io/files/context.pdf#page=114
copower,https://emilyriehl.github.io/files/context.pdf#page=114
colimit as a coequalizer between coproducts,https://emilyriehl.github.io/files/context.pdf#page=114
limit as an equalizer between products,https://emilyriehl.github.io/files/context.pdf#page=114
generalized element,https://emilyriehl.github.io/files/context.pdf#page=116
finite limit from pullbacks and a terminal object,https://emilyriehl.github.io/files/context.pdf#page=116
finite colimit from pushouts and an initial object,https://emilyriehl.github.io/files/context.pdf#page=116
finite diagram,https://emilyriehl.github.io/files/context.pdf#page=117
cocontinuous functor,https://emilyriehl.github.io/files/context.pdf#page=117
continuous functor,https://emilyriehl.github.io/files/context.pdf#page=117
kernel pair,https://emilyriehl.github.io/files/context.pdf#page=121
equivalence relation,https://emilyriehl.github.io/files/context.pdf#page=121
image factorization in a Grothendieck topos,https://emilyriehl.github.io/files/context.pdf#page=123
image factorization,https://emilyriehl.github.io/files/context.pdf#page=123
functoriality of limits and colimits,https://emilyriehl.github.io/files/context.pdf#page=124
limit functor,https://emilyriehl.github.io/files/context.pdf#page=124
colimit functor,https://emilyriehl.github.io/files/context.pdf#page=124
non-strictness of limit,https://emilyriehl.github.io/files/context.pdf#page=124
non-strictness of colimit,https://emilyriehl.github.io/files/context.pdf#page=124
path components,https://emilyriehl.github.io/files/context.pdf#page=125
natural isomorphism between diagrams,https://emilyriehl.github.io/files/context.pdf#page=125
object as a limit,https://emilyriehl.github.io/files/context.pdf#page=128
weakly initial,https://emilyriehl.github.io/files/context.pdf#page=128
cardinality of category,https://emilyriehl.github.io/files/context.pdf#page=128
limit commutes with limits,https://emilyriehl.github.io/files/context.pdf#page=129
colimit commutes with colimits,https://emilyriehl.github.io/files/context.pdf#page=129
universal property of supremum,https://emilyriehl.github.io/files/context.pdf#page=131
universal property of infimum,https://emilyriehl.github.io/files/context.pdf#page=131
lim inf,https://emilyriehl.github.io/files/context.pdf#page=131
lim sup,https://emilyriehl.github.io/files/context.pdf#page=131
