Wikidata ID,nLab,nLab link,Wikidata Label
Q7251,Alan M. Turing,https://ncatlab.org/nlab/show/Alan+M.+Turing,Alan Turing
Q4707254,Alan Martin,https://ncatlab.org/nlab/show/Alan+Martin,Alan Martin
Q4707402,Alan Mycroft,https://ncatlab.org/nlab/show/Alan+Mycroft,Alan Mycroft
Q23538264,Alan Robinson,https://ncatlab.org/nlab/show/Alan+Robinson,Alan Robinson
Q381300,Alan Weinstein,https://ncatlab.org/nlab/show/Alan+Weinstein,Alan Weinstein
Q20876161,Alastair Hamilton,https://ncatlab.org/nlab/show/Alastair+Hamilton,Alastair Hamilton
Q4708729,Alastair King,https://ncatlab.org/nlab/show/Alastair+King,Alastair King
Q4708787,Alastair Wilson,https://ncatlab.org/nlab/show/Alastair+Wilson,Alastair Wilson
Q937,Albert Einstein,https://ncatlab.org/nlab/show/Albert+Einstein,Albert Einstein
Q327198,Albert Lautman,https://ncatlab.org/nlab/show/Albert+Lautman,Albert Lautman
Q1464744,Albert Nijenhuis,https://ncatlab.org/nlab/show/Albert+Nijenhuis,Albert Nijenhuis
Q2638692,Albert Schwarz,https://ncatlab.org/nlab/show/Albert+Schwarz,Albert Schwarz
Q15435245,Alberto Cattaneo,https://ncatlab.org/nlab/show/Alberto+Cattaneo,Alberto Cattaneo
Q28552306,Albrecht Bertram,https://ncatlab.org/nlab/show/Albrecht+Bertram,Albrecht Bertram
Q109854,Albrecht Dold,https://ncatlab.org/nlab/show/Albrecht+Dold,Albrecht Dold
Q451721,Albrecht Fröhlich,https://ncatlab.org/nlab/show/Albrecht+Fr%C3%B6hlich,Albrecht Fröhlich
Q24254204,Aldridge Bousfield,https://ncatlab.org/nlab/show/Aldridge+Bousfield,Aldridge Bousfield
Q5597999,ALE space,https://ncatlab.org/nlab/show/ALE+space,Gravitational instanton
Q2640723,Alejandro Adem,https://ncatlab.org/nlab/show/Alejandro+Adem,Alejandro Adem
Q4714507,Alejandro Corichi,https://ncatlab.org/nlab/show/Alejandro+Corichi,Alejandro Corichi
Q270336,Aleksandr Aleksandrov,https://ncatlab.org/nlab/show/Aleksandr+Aleksandrov,Aleksandr Aleksandrov
Q4716267,Alessandra Buonanno,https://ncatlab.org/nlab/show/Alessandra+Buonanno,Alessandra Buonanno
Q56849337,Alessandro Strumia,https://ncatlab.org/nlab/show/Alessandro+Strumia,Alessandro Strumia
Q117078801,Alessio Lomuscio,https://ncatlab.org/nlab/show/Alessio+Lomuscio,Alessio Lomuscio
Q4716836,Alex Cole,https://ncatlab.org/nlab/show/Alex+Cole,Alex Cole
Q1748305,Alex Eskin,https://ncatlab.org/nlab/show/Alex+Eskin,Alex Eskin
Q4717793,Alex Simpson,https://ncatlab.org/nlab/show/Alex+Simpson,Alex Simpson
Q369792,Alexander Beilinson,https://ncatlab.org/nlab/show/Alexander+Beilinson,Alexander Beilinson
Q2641669,Alexander Belavin,https://ncatlab.org/nlab/show/Alexander+Belavin,Alexander Belavin
Q2641863,Alexander Braverman,https://ncatlab.org/nlab/show/Alexander+Braverman,Alexander Braverman
Q82750,Alexander Campbell,https://ncatlab.org/nlab/show/Alexander+Campbell,Alexander Campbell
Q99544,Alexander Engel,https://ncatlab.org/nlab/show/Alexander+Engel,Alexander Engel
Q451757,Alexander Givental,https://ncatlab.org/nlab/show/Alexander+Givental,Alexander Givental
Q2642205,Alexander Goncharov,https://ncatlab.org/nlab/show/Alexander+Goncharov,Alexander Goncharov
Q980208,Alexander Gorsky,https://ncatlab.org/nlab/show/Alexander+Gorsky,Alexander Alexeyevich Gorsky
Q4703912,Alexander Green,https://ncatlab.org/nlab/show/Alexander+Green,Alexander Green
Q77141,Alexander Grothendieck,https://ncatlab.org/nlab/show/Alexander+Grothendieck,Alexander Grothendieck
Q4221363,Alexander Kirillov,https://ncatlab.org/nlab/show/Alexander+Kirillov,Alexander Kirillov
Q1900592,Alexander Kuznetsov,https://ncatlab.org/nlab/show/Alexander+Kuznetsov,Aleksandr Kuznetsov
Q4718839,Alexander L. Fetter,https://ncatlab.org/nlab/show/Alexander+L.+Fetter,Alexander Fetter
Q2642658,Alexander Merkurjev,https://ncatlab.org/nlab/show/Alexander+Merkurjev,Alexander Merkurjev
Q64975,Alexander Ostrowski,https://ncatlab.org/nlab/show/Alexander+Ostrowski,Alexander Ostrowski
Q16734607,Alexander Polishchuk,https://ncatlab.org/nlab/show/Alexander+Polishchuk,Alexander Polishchuk
Q1727208,Alexander Polyakov,https://ncatlab.org/nlab/show/Alexander+Polyakov,Alexander Polyakov
Q4374246,Alexander Postnikov,https://ncatlab.org/nlab/show/Alexander+Postnikov,Aleksandr Postnikov
Q3739981,Alexander Rosenberg,https://ncatlab.org/nlab/show/Alexander+Rosenberg,Alexander Rosenberg
Q2642974,Alexander Schmidt,https://ncatlab.org/nlab/show/Alexander+Schmidt,Alexander Schmidt
Q1458824,Alexander Varchenko,https://ncatlab.org/nlab/show/Alexander+Varchenko,Alexander Varchenko
Q1399445,Alexander Vilenkin,https://ncatlab.org/nlab/show/Alexander+Vilenkin,Alexander Vilenkin
Q12271434,Alexander Voronov,https://ncatlab.org/nlab/show/Alexander+Voronov,Alexander Voronov
Q1333246,Alexander Zamolodchikov,https://ncatlab.org/nlab/show/Alexander+Zamolodchikov,Alexander Zamolodchikov
Q4720810,Alexandre Borovik,https://ncatlab.org/nlab/show/Alexandre+Borovik,Alexandre Borovik
Q925405,Alexandre Kirillov,https://ncatlab.org/nlab/show/Alexandre+Kirillov,Alexandre Kirillov
Q22328386,Alexandru Dimca,https://ncatlab.org/nlab/show/Alexandru+Dimca,Alexandru Dimca
Q2277954,Alexandru Proca,https://ncatlab.org/nlab/show/Alexandru+Proca,Alexandru Proca
Q1183421,Alexei Abrikosov,https://ncatlab.org/nlab/show/Alexei+Abrikosov,Aleksei Abrikosov
Q131754976,Alexei Davydov,https://ncatlab.org/nlab/show/Alexei+Davydov,Alexey Davydov
Q2643958,Alexei Kitaev,https://ncatlab.org/nlab/show/Alexei+Kitaev,Alexei Kitaev
Q739944,Alexei Kovalev,https://ncatlab.org/nlab/show/Alexei+Kovalev,Alex Kovalev
Q735366,Alexei Morozov,https://ncatlab.org/nlab/show/Alexei+Morozov,Alexei Morozov
Q82993,Alexey Petrov,https://ncatlab.org/nlab/show/Alexey+Petrov,Aleksei Petrov
Q936470,Alfred Ewing,https://ncatlab.org/nlab/show/Alfred+Ewing,Alfred Ewing
Q4722697,Alfred Frölicher,https://ncatlab.org/nlab/show/Alfred+Fr%C3%B6licher,Alfred Frölicher
Q4722749,Alfred Gray,https://ncatlab.org/nlab/show/Alfred+Gray,Alfred Gray
Q85471,Alfred Schild,https://ncatlab.org/nlab/show/Alfred+Schild,Alfred Schild
Q207534,Alfred Tarski,https://ncatlab.org/nlab/show/Alfred+Tarski,Alfred Tarski
Q4723614,Alfred Whitehead,https://ncatlab.org/nlab/show/Alfred+Whitehead,Alfred Whitehead
Q4723663,Alfred Young,https://ncatlab.org/nlab/show/Alfred+Young,Alfred Young
Q465715,Alfréd Rényi,https://ncatlab.org/nlab/show/Alfr%C3%A9d+R%C3%A9nyi,Alfréd Rényi
Q261652,Alg,https://ncatlab.org/nlab/show/Alg,ALG
Q1386213,algebra for an endofunctor,https://ncatlab.org/nlab/show/algebra+for+an+endofunctor,F-algebra
Q1630568,algebra over a monad,https://ncatlab.org/nlab/show/algebra+over+a+monad,Monad (category theory)
Q3502010,algebraic category,https://ncatlab.org/nlab/show/algebraic+category,Variety (universal algebra)
Q4723991,algebraic cobordism,https://ncatlab.org/nlab/show/algebraic+cobordism,Algebraic cobordism
Q264224,algebraic dynamics,https://ncatlab.org/nlab/show/algebraic+dynamics,Complex dynamics
Q2497866,algebraic effect,https://ncatlab.org/nlab/show/algebraic+effect,Effect system
Q288764,algebraic fundamental group,https://ncatlab.org/nlab/show/algebraic+fundamental+group,Étale fundamental group
Q180969,algebraic geometry,https://ncatlab.org/nlab/show/algebraic+geometry,Algebraic geometry
Q130349201,algebraic homotopy,https://ncatlab.org/nlab/show/algebraic+homotopy,Algebraic homotopy
Q2553675,algebraic K-theory,https://ncatlab.org/nlab/show/algebraic+K-theory,Algebraic K-theory
Q4724030,algebroid,https://ncatlab.org/nlab/show/algebroid,Algebroid
Q4724234,Algimantas Adolfas Jucys,https://ncatlab.org/nlab/show/Algimantas+Adolfas+Jucys,Algimantas Adolfas Jucys
Q8366,algorithm,https://ncatlab.org/nlab/show/algorithm,Algorithm
Q17521164,Ali Chamseddine,https://ncatlab.org/nlab/show/Ali+Chamseddine,Ali Chamseddine
Q24572773,Alice Rogers,https://ncatlab.org/nlab/show/Alice+Rogers,Alice Rogers
Q58010066,Alissa Crans,https://ncatlab.org/nlab/show/Alissa+Crans,Alissa Crans
Q4730656,Allan H. MacDonald,https://ncatlab.org/nlab/show/Allan+H.+MacDonald,Allan H. MacDonald
Q2837899,Allen Hatcher,https://ncatlab.org/nlab/show/Allen+Hatcher,Allen Hatcher
Q4731739,Allen Knutson,https://ncatlab.org/nlab/show/Allen+Knutson,Allen Knutson
Q92741,Alonzo Church,https://ncatlab.org/nlab/show/Alonzo+Church,Alonzo Church
Q20798882,Amalendu Krishna,https://ncatlab.org/nlab/show/Amalendu+Krishna,Amalendu Krishna
Q452862,amalgamation,https://ncatlab.org/nlab/show/amalgamation,Amalgamation
Q4739384,amalgamation property,https://ncatlab.org/nlab/show/amalgamation+property,Amalgamation property
Q131332,Amanda Peet,https://ncatlab.org/nlab/show/Amanda+Peet,Amanda Peet
Q4742444,Amer Iqbal,https://ncatlab.org/nlab/show/Amer+Iqbal,Amer Iqbal
Q17521223,Amir Dembo,https://ncatlab.org/nlab/show/Amir+Dembo,Amir Dembo
Q4746863,Amit Patel,https://ncatlab.org/nlab/show/Amit+Patel,Amit Patel
Q116821286,Amit Sharma,https://ncatlab.org/nlab/show/Amit+Sharma,Amit Sharma
Q4746921,Amitai Regev,https://ncatlab.org/nlab/show/Amitai+Regev,Amitai Regev
Q14492076,Amnon Yekutieli,https://ncatlab.org/nlab/show/Amnon+Yekutieli,Amnon Yekutieli
Q4748472,ample sheaf,https://ncatlab.org/nlab/show/ample+sheaf,Ample vector bundle
Q6563512,Ana Cannas da Silva,https://ncatlab.org/nlab/show/Ana+Cannas+da+Silva,Ana Cannas da Silva
Q483270,anabelian geometry,https://ncatlab.org/nlab/show/anabelian+geometry,Anabelian geometry
Q126372275,anafunctor,https://ncatlab.org/nlab/show/anafunctor,Anafunctor
Q185816,analogy,https://ncatlab.org/nlab/show/analogy,Analogy
Q3275846,analyser,https://ncatlab.org/nlab/show/analyser,Analyser
Q7754,analysis,https://ncatlab.org/nlab/show/analysis,Mathematical analysis
Q4751109,Analysis Situs,https://ncatlab.org/nlab/show/Analysis+Situs,Analysis Situs
Q134787,analytic geometry,https://ncatlab.org/nlab/show/analytic+geometry,Analytic geometry
Q183216,analytic philosophy,https://ncatlab.org/nlab/show/analytic+philosophy,Analytic philosophy
Q485695,Anand Pillay,https://ncatlab.org/nlab/show/Anand+Pillay,Anand Pillay
Q76892151,Anastasia Volovich,https://ncatlab.org/nlab/show/Anastasia+Volovich,Anastasia Volovich
Q158465,Anatoly Fomenko,https://ncatlab.org/nlab/show/Anatoly+Fomenko,Anatoly Fomenko
Q22999228,Anatoly Libgober,https://ncatlab.org/nlab/show/Anatoly+Libgober,Anatoly Libgober
Q487778,Anatoly Malcev,https://ncatlab.org/nlab/show/Anatoly+Malcev,Anatoly Maltsev
Q4524490,Anatoly Shirshov,https://ncatlab.org/nlab/show/Anatoly+Shirshov,Anatoly Shirshov
Q451652,Anatoly Vershik,https://ncatlab.org/nlab/show/Anatoly+Vershik,Anatoly Vershik
Q83041,Anaxagoras,https://ncatlab.org/nlab/show/Anaxagoras,Anaxagoras
Q104104,Andre Geim,https://ncatlab.org/nlab/show/Andre+Geim,Andre Geim
Q4755386,Andreas Blass,https://ncatlab.org/nlab/show/Andreas+Blass,Andreas Blass
Q496874,Andreas Dress,https://ncatlab.org/nlab/show/Andreas+Dress,Andreas Dress
Q77507,Andreas Floer,https://ncatlab.org/nlab/show/Andreas+Floer,Andreas Floer
Q500940,Andreas Thom,https://ncatlab.org/nlab/show/Andreas+Thom,Andreas Thom
Q30139768,Andreas Wallraff,https://ncatlab.org/nlab/show/Andreas+Wallraff,Andreas Wallraff
Q102110807,Andrei Khrennikov,https://ncatlab.org/nlab/show/Andrei+Khrennikov,Andrei Khrennikov
Q368087,Andrei Linde,https://ncatlab.org/nlab/show/Andrei+Linde,Andrei Linde
Q11561112,Andrei Mironov,https://ncatlab.org/nlab/show/Andrei+Mironov,Andrey Mironov
Q315425,Andrei Okounkov,https://ncatlab.org/nlab/show/Andrei+Okounkov,Andrei Okounkov
Q997,Andrei Sakharov,https://ncatlab.org/nlab/show/Andrei+Sakharov,Andrei Sakharov
Q501707,Andrei Suslin,https://ncatlab.org/nlab/show/Andrei+Suslin,Andrei Suslin
Q502771,Andrei Zelevinsky,https://ncatlab.org/nlab/show/Andrei+Zelevinsky,Andrei Zelevinsky
Q28534246,Andrew Baker,https://ncatlab.org/nlab/show/Andrew+Baker,Andrew Baker
Q23016708,Andrew Childs,https://ncatlab.org/nlab/show/Andrew+Childs,Andrew Childs
Q504857,Andrew Gleason,https://ncatlab.org/nlab/show/Andrew+Gleason,Andrew M. Gleason
Q61002992,Andrew Hanson,https://ncatlab.org/nlab/show/Andrew+Hanson,Andrew Hanson
Q450154,Andrew Hodges,https://ncatlab.org/nlab/show/Andrew+Hodges,Andrew Hodges
Q6560871,Andrew Kent,https://ncatlab.org/nlab/show/Andrew+Kent,James Taylor (Alamo defender)
Q102229047,Andrew Kresch,https://ncatlab.org/nlab/show/Andrew+Kresch,Andrew Kresch
Q4757749,Andrew Lewis,https://ncatlab.org/nlab/show/Andrew+Lewis,Andrew Lewis
Q101530825,Andrew Neitzke,https://ncatlab.org/nlab/show/Andrew+Neitzke,Andrew Neitzke
Q52004698,Andrew Putman,https://ncatlab.org/nlab/show/Andrew+Putman,Andrew Putman
Q506805,Andrew Ranicki,https://ncatlab.org/nlab/show/Andrew+Ranicki,Andrew Ranicki
Q106797847,Andrew Snowden,https://ncatlab.org/nlab/show/Andrew+Snowden,Andrew Snowden
Q507732,Andrew Strominger,https://ncatlab.org/nlab/show/Andrew+Strominger,Andy Strominger
Q92785082,Andrew Sutherland,https://ncatlab.org/nlab/show/Andrew+Sutherland,Andrew Sutherland
Q4758678,Andrew Swan,https://ncatlab.org/nlab/show/Andrew+Swan,Andrew Swan
Q184433,Andrew Wiles,https://ncatlab.org/nlab/show/Andrew+Wiles,Andrew Wiles
Q2783327,Andrey Gromov,https://ncatlab.org/nlab/show/Andrey+Gromov,Andrey Gromov
Q153224,Andrey Kolmogorov,https://ncatlab.org/nlab/show/Andrey+Kolmogorov,Andrey Kolmogorov
Q176659,Andrey Markov,https://ncatlab.org/nlab/show/Andrey+Markov,Andrey Markov
Q124625819,Andrey Morozov,https://ncatlab.org/nlab/show/Andrey+Morozov,Andrey Morozov (milblogger)
Q502589,Andrey Tikhonov,https://ncatlab.org/nlab/show/Andrey+Tikhonov,Andrei Tikhonov
Q2846875,Andries E. Brouwer,https://ncatlab.org/nlab/show/Andries+E.+Brouwer,Andries Brouwer
Q24206092,Andrzej Buras,https://ncatlab.org/nlab/show/Andrzej+Buras,Andrzej Buras
Q9152581,Andrzej Kozlowski,https://ncatlab.org/nlab/show/Andrzej+Kozlowski,Andrzej Kozłowski
Q1119959,András Kovács,https://ncatlab.org/nlab/show/Andr%C3%A1s+Kov%C3%A1cs,Andras Kovacs
Q118872,André Haefliger,https://ncatlab.org/nlab/show/Andr%C3%A9+Haefliger,André Haefliger
Q2815652,André Joyal,https://ncatlab.org/nlab/show/Andr%C3%A9+Joyal,André Joyal
Q520942,André Lichnerowicz,https://ncatlab.org/nlab/show/Andr%C3%A9+Lichnerowicz,André Lichnerowicz
Q325967,André Neveu,https://ncatlab.org/nlab/show/Andr%C3%A9+Neveu,A. Neveu
Q522105,André Néron,https://ncatlab.org/nlab/show/Andr%C3%A9+N%C3%A9ron,André Néron
Q18132175,André Petermann,https://ncatlab.org/nlab/show/Andr%C3%A9+Petermann,André Petermann
Q323232,André Weil,https://ncatlab.org/nlab/show/Andr%C3%A9+Weil,André Weil
Q4760300,André-Quillen homology,https://ncatlab.org/nlab/show/Andr%C3%A9-Quillen+homology,André–Quillen cohomology
Q102124097,Angelo Vistoli,https://ncatlab.org/nlab/show/Angelo+Vistoli,Angelo Vistoli
Q11352,angle,https://ncatlab.org/nlab/show/angle,Angle
Q30505551,Anirban Basu,https://ncatlab.org/nlab/show/Anirban+Basu,Anirban Basu
