title,link,suggestion
parallel pair,[parallel pair](https://mathgloss.github.io/MathGloss/parallel_pair),equalizer
coequalizer,[coequalizer](https://mathgloss.github.io/MathGloss/coequalizer),coequalizer
category of $T$-algebras,[category of $T$-algebras](https://mathgloss.github.io/MathGloss/category_of_$T$-algebras),$T$-algebra
indexing category,[indexing category](https://mathgloss.github.io/MathGloss/indexing_category),indexing category
abelian category,[abelian category](https://mathgloss.github.io/MathGloss/abelian_category),abelian category
commutative rectangle,[commutative rectangle](https://mathgloss.github.io/MathGloss/commutative_rectangle),commutative rectangle
measurable,[measurable](https://mathgloss.github.io/MathGloss/measurable),measurable space
adjunct,[adjunct](https://mathgloss.github.io/MathGloss/adjunct),adjunct morphism
free category,[free category](https://mathgloss.github.io/MathGloss/free_category),free category
homeomorphisms,[homeomorphisms](https://mathgloss.github.io/MathGloss/homeomorphisms),homeomorphism
torsion subgroup,[torsion subgroup](https://mathgloss.github.io/MathGloss/torsion_subgroup),torsion subgroup
coseparating set,[coseparating set](https://mathgloss.github.io/MathGloss/coseparating_set),coseparating set
covariant,[covariant](https://mathgloss.github.io/MathGloss/covariant),covariant functor
creates coequalizers of $U$-split pairs,[creates coequalizers of $U$-split pairs](https://mathgloss.github.io/MathGloss/creates_coequalizers_of_$U$-split_pairs),$U$-split coequalizer
coYoneda lemma,[coYoneda lemma](https://mathgloss.github.io/MathGloss/coYoneda_lemma),coYoneda lemma
image,[image](https://mathgloss.github.io/MathGloss/image),image of a morphism
path components functor,[path components functor](https://mathgloss.github.io/MathGloss/path_components_functor),path components functor
terminal category,[terminal category](https://mathgloss.github.io/MathGloss/terminal_category),terminal object
universal vector space equipped with a bilinear map,[universal vector space equipped with a bilinear map](https://mathgloss.github.io/MathGloss/universal_vector_space_equipped_with_a_bilinear_map),universal vector space
chain complex,[chain complex](https://mathgloss.github.io/MathGloss/chain_complex),chain complex of R-modules
over,[over](https://mathgloss.github.io/MathGloss/over),slice category
density theorem,[density theorem](https://mathgloss.github.io/MathGloss/density_theorem),density theorem
creates isomorphisms,[creates isomorphisms](https://mathgloss.github.io/MathGloss/creates_isomorphisms),isomorphism-creating functor
additive,[additive](https://mathgloss.github.io/MathGloss/additive),additive functor
representably isomorphic,[representably isomorphic](https://mathgloss.github.io/MathGloss/representably_isomorphic),representably isomorphic objects
walking arrow,[walking arrow](https://mathgloss.github.io/MathGloss/walking_arrow),walking arrow
preorder,[preorder](https://mathgloss.github.io/MathGloss/preorder),preorder
representation,[representation](https://mathgloss.github.io/MathGloss/representation),representable functor
monadic adjunction,[monadic adjunction](https://mathgloss.github.io/MathGloss/monadic_adjunction),monadic adjunction
Cayleys theorem,[Cayleys theorem](https://mathgloss.github.io/MathGloss/Cayleys_theorem),Cayley's theorem
contravariant functor,[contravariant functor](https://mathgloss.github.io/MathGloss/contravariant_functor),contravariant functor
jointly weakly initial,[jointly weakly initial](https://mathgloss.github.io/MathGloss/jointly_weakly_initial),jointly weakly initial collection
path,[path](https://mathgloss.github.io/MathGloss/path),path
slice category,[slice category](https://mathgloss.github.io/MathGloss/slice_category),slice category
left exact,[left exact](https://mathgloss.github.io/MathGloss/left_exact),left exact functor
function spaces,[function spaces](https://mathgloss.github.io/MathGloss/function_spaces),function space
walking isomorphism,[walking isomorphism](https://mathgloss.github.io/MathGloss/walking_isomorphism),walking isomorphism
sheaf,[sheaf](https://mathgloss.github.io/MathGloss/sheaf),sheaf
re-parameterizations,[re-parameterizations](https://mathgloss.github.io/MathGloss/re-parameterizations),re-parameterization
path components,[path components](https://mathgloss.github.io/MathGloss/path_components),path components
affine space,[affine space](https://mathgloss.github.io/MathGloss/affine_space),affine space
essentially small,[essentially small](https://mathgloss.github.io/MathGloss/essentially_small),essentially small category
space of ordered configurations of n points,[space of ordered configurations of n points](https://mathgloss.github.io/MathGloss/space_of_ordered_configurations_of_n_points),space of configurations of n points
finest,[finest](https://mathgloss.github.io/MathGloss/finest),finest topology
fiber,[fiber](https://mathgloss.github.io/MathGloss/fiber),fiber
coproduct injections,[coproduct injections](https://mathgloss.github.io/MathGloss/coproduct_injections),coproduct injection
join semilattice,[join semilattice](https://mathgloss.github.io/MathGloss/join_semilattice),join semilattice
simplex category,[simplex category](https://mathgloss.github.io/MathGloss/simplex_category),group object
currying,[currying](https://mathgloss.github.io/MathGloss/currying),currying
